ticker,kerzen,pivot_kontrolle,t_atr,t_serien,pruefttage,luecken_offen,korrekturen,korrekturen_je_jahr,tiefe_p25,tiefe_p50,tiefe_p75,tiefe_p90,dauer_p25,dauer_p50,dauer_p75,dauer_p90,mit_ergebnis,risiko_p33,chance_a_median,ratio_a_p67,chance_b_median,ratio_b_p67,gut_a_pct,gut_b_pct,haelt2_pct
BAYN.DE,1781,1,2.491150302770147,108,507,3,64,9.14,3.45,4.49,6.19,8.63,5.8,11.0,18.0,26.7,490,1.881,1.668,0.774,4.036,2.204,27.1,29.6,34.7
BBVA,1759,1,1.7906966514584004,167,594,0,128,18.29,2.29,3.1,4.68,5.53,2.0,5.0,7.2,11.3,567,0.729,1.791,1.151,6.12,5.022,28.6,28.4,47.1
BEI.DE,1781,1,2.4465118717566354,96,534,3,77,11.0,3.22,3.84,5.45,7.4,4.0,7.0,13.0,20.0,512,1.404,2.014,1.01,3.617,2.053,28.7,29.5,41.0
BHP,1759,1,2.215941255801296,149,642,0,83,11.86,3.07,4.02,5.76,7.43,3.0,7.0,14.0,18.0,614,1.104,2.031,1.147,5.241,3.064,28.3,30.8,42.7
BIIB,1759,1,2.826257727768857,78,500,0,58,8.29,3.69,4.79,6.8,8.78,6.0,13.0,21.2,34.1,479,0.976,1.703,0.908,3.354,2.146,25.9,25.5,45.7
BKNG,1759,1,2.2427401683961925,133,529,0,82,11.72,2.57,3.44,4.78,6.91,4.0,6.5,13.8,18.9,515,0.821,2.203,1.276,4.785,3.295,27.4,28.9,47.8
BKR,1759,1,2.2306086471469992,111,531,0,77,11.0,2.79,3.33,4.68,6.6,4.0,7.0,11.0,15.4,513,0.684,1.836,1.392,4.768,4.075,28.7,28.8,50.5
BLK,1759,1,2.1337172735984082,132,538,0,88,12.58,2.77,3.56,4.73,6.68,3.0,6.0,11.2,16.0,519,0.92,1.979,1.273,4.991,2.996,28.9,31.4,45.3
BMO,1759,1,2.1853669833647498,126,549,0,81,11.57,2.81,4.07,5.25,6.98,4.0,7.0,11.0,16.0,529,0.877,1.85,1.149,5.456,4.142,29.1,28.4,46.7
BMW.DE,1781,1,2.6875286400307012,90,551,3,61,8.71,3.51,4.2,5.83,8.16,7.0,11.0,15.0,26.0,525,1.014,1.978,1.186,4.384,2.871,29.0,29.7,45.5
BMY,1759,1,2.597393633139985,112,478,0,60,8.57,3.31,4.64,5.63,8.03,5.0,9.5,20.0,28.1,458,1.323,2.045,1.107,3.432,1.856,28.2,30.3,41.0
BNR.DE,1781,1,2.29431348521103,113,542,3,76,10.86,3.15,3.88,5.3,8.12,4.0,8.5,14.5,22.5,520,1.489,1.891,0.871,4.03,2.495,28.8,30.0,38.8
BNS,1759,1,2.004248885870535,127,524,0,100,14.29,2.46,3.56,5.16,6.66,3.0,6.0,10.0,16.0,505,0.969,1.754,1.079,4.651,3.662,28.5,28.5,46.9
BNY,1759,1,1.9397876531078178,150,526,0,100,14.29,2.4,3.13,4.16,5.59,3.0,6.0,9.0,13.0,511,0.361,1.846,1.49,5.44,5.032,27.4,29.4,56.0
BP,1759,1,2.3243224003232426,137,618,0,89,12.72,2.86,3.73,5.3,7.75,3.0,6.0,12.0,19.4,593,1.275,1.75,0.967,4.695,2.672,28.2,29.5,45.2
BRK-B,1759,1,1.986810640762666,135,545,0,95,13.58,2.64,3.43,4.62,5.71,3.5,6.0,11.0,14.6,522,0.616,1.653,1.286,5.138,3.741,27.0,28.2,55.0
BTI,1759,1,2.1200092573577307,116,599,0,93,13.29,2.9,4.13,5.26,7.21,3.0,6.0,11.0,16.8,575,1.741,1.687,0.728,4.091,2.172,27.7,29.2,36.0
C,1759,1,2.040101756230457,128,549,0,97,13.86,2.62,3.65,4.81,6.2,3.0,6.0,11.0,14.4,529,0.664,1.691,1.312,4.837,3.817,28.7,29.9,50.5
CAT,1759,1,2.2928183693279305,119,520,0,80,11.43,2.88,3.37,4.93,6.75,5.0,8.0,13.2,20.0,497,0.176,2.35,2.316,6.242,6.352,28.2,31.2,52.3
CB,1759,1,2.4696490183443585,107,517,0,65,9.29,3.28,4.09,4.98,5.78,5.0,10.0,15.0,24.0,498,0.624,1.814,1.434,5.292,3.162,29.7,27.9,52.8
CBK.DE,1781,1,2.1038842394121944,121,500,3,91,13.0,2.69,3.21,4.45,5.76,3.0,6.0,10.0,15.0,484,0.473,1.794,1.746,5.699,4.49,27.9,25.8,57.6
CCEP,1759,1,2.3879247229884397,119,508,0,76,10.86,2.97,3.89,5.12,6.62,5.0,8.0,12.2,15.0,489,0.599,2.02,1.702,4.857,3.821,29.9,29.7,55.0
CDNS,1759,1,2.1641084054142747,142,520,0,90,12.86,2.68,3.81,4.74,6.37,3.0,7.0,10.8,17.0,503,0.651,2.096,1.507,5.932,4.138,28.0,29.6,53.5
CDW,1759,1,2.373408120481489,112,487,0,75,10.72,3.07,4.37,5.71,6.49,6.0,9.0,14.0,21.0,467,1.181,1.915,0.926,4.505,2.318,27.8,28.9,43.5
CEG,1176,1,2.036166030086491,77,333,0,63,13.46,2.66,3.25,4.49,5.84,3.0,6.0,8.5,12.8,318,0.547,1.402,1.447,6.185,5.627,28.9,28.3,51.9
CHTR,1759,1,2.223490508942787,94,492,0,76,10.86,2.94,4.07,5.56,8.23,4.0,7.0,13.0,25.5,478,1.703,1.61,0.676,3.528,1.997,28.0,30.3,37.2
CL,1759,1,2.0073201931512994,119,513,0,85,12.15,2.76,3.47,4.62,6.56,3.0,6.0,11.0,20.8,492,0.836,1.494,1.002,4.197,3.348,28.0,29.3,50.2
CM,1759,1,1.9567397056388067,126,532,0,103,14.72,2.57,3.37,4.96,6.46,3.0,4.0,7.5,15.0,517,0.527,1.669,1.318,5.844,5.36,29.6,29.2,53.8
CMCSA,1759,1,2.2566255526242136,90,499,0,81,11.57,3.07,3.87,5.26,6.48,4.0,7.0,13.0,22.0,481,1.103,1.76,0.768,3.431,1.987,28.7,28.7,43.0
CNQ,1759,1,2.2257676386992227,137,536,0,88,12.58,2.85,3.78,4.95,6.4,3.8,7.0,11.0,16.3,513,1.143,1.852,1.182,4.627,3.385,28.7,28.8,47.4
COF,1759,1,2.3281937095239393,115,556,0,83,11.86,2.98,3.84,5.07,6.73,4.5,7.0,12.0,18.0,532,0.982,1.813,1.181,4.572,3.04,28.9,29.3,47.9
CON.DE,1781,1,2.8910268076251127,103,527,3,57,8.14,4.0,4.66,6.48,7.7,8.0,13.0,20.0,28.0,508,1.162,2.012,1.107,4.008,2.328,28.1,28.5,46.1
COP,1759,1,2.2492856987066236,119,550,0,80,11.43,2.8,3.87,5.04,7.69,5.0,8.5,12.0,20.0,527,1.083,1.818,1.03,4.215,3.153,27.5,30.0,45.5
COST,1759,1,2.2778539038879893,118,485,0,77,11.0,2.96,3.58,4.71,6.6,4.0,7.0,11.0,19.0,462,0.345,2.168,1.723,5.755,4.417,27.5,27.3,56.1
CPRT,1759,1,2.1530471118245487,123,505,0,88,12.58,2.73,3.63,5.19,6.3,3.0,7.0,12.2,20.3,488,0.732,1.567,1.246,4.897,3.251,29.1,29.5,44.9
CRM,1759,1,2.3172310332834822,109,522,0,80,11.43,3.03,3.82,5.54,7.32,5.0,8.0,14.0,20.1,503,1.13,1.921,1.133,3.937,3.529,29.0,30.0,45.3
CRWD,1759,1,2.411395374608739,116,481,0,81,11.57,2.96,3.78,4.6,5.94,4.0,6.0,10.0,17.0,463,0.18,2.276,2.193,5.766,5.88,28.7,30.0,56.6
CSCO,1759,1,2.3273638697704944,102,544,0,71,10.15,3.02,3.87,5.41,7.33,4.0,8.0,16.0,22.0,522,0.725,2.101,1.353,5.422,3.975,28.0,29.3,51.7
CSGP,1759,1,2.6121852649241712,89,509,0,64,9.15,3.43,4.35,5.89,8.67,5.8,11.0,15.2,28.4,490,1.019,1.813,1.169,3.198,2.101,28.0,29.8,47.3
CSX,1759,1,1.9374566425175725,132,513,0,101,14.43,2.45,3.27,4.19,5.96,3.0,6.0,11.0,17.0,494,0.886,1.651,0.919,4.62,3.369,29.4,30.0,47.8
CTAS,1759,1,2.0715479847711142,130,525,0,86,12.29,2.66,3.41,4.43,5.86,3.0,6.0,11.0,16.0,504,0.26,1.997,1.815,5.438,4.328,27.2,27.6,61.9
CTSH,1759,1,2.765954810659818,95,535,0,59,8.43,3.43,4.25,5.74,8.68,6.0,10.0,18.0,28.6,515,1.252,1.716,0.898,4.378,2.248,29.1,28.9,41.2
CVS,1759,1,2.2542382949593858,121,478,0,79,11.29,2.94,3.67,5.2,7.65,4.0,8.0,12.0,20.0,460,1.295,1.73,1.08,3.818,2.499,27.6,30.7,43.9
CVX,1759,1,2.1731056826330777,110,563,0,83,11.86,2.89,3.6,4.96,7.27,4.0,7.0,11.0,17.0,542,0.914,1.783,0.97,4.028,2.692,27.7,28.6,48.2
DASH,1455,1,2.0374764449631693,108,426,0,75,12.95,2.75,3.31,4.42,6.64,3.5,7.0,12.0,16.0,405,0.608,1.686,1.208,5.381,4.295,26.7,28.1,55.1
DB1.DE,1781,1,2.2128091285430593,109,518,3,79,11.28,2.84,3.51,4.75,6.56,4.0,7.0,13.0,20.0,501,0.911,1.587,0.946,4.322,2.627,29.3,27.1,50.5
DBK.DE,1781,1,2.193717001845074,124,537,3,86,12.28,2.77,3.73,4.7,6.32,4.0,6.5,9.8,17.5,516,0.703,1.924,1.142,5.764,4.093,28.3,29.5,54.5
DDOG,1759,1,2.229143681452201,108,528,0,83,11.86,2.85,3.78,4.89,6.41,4.0,7.0,12.0,18.0,511,0.708,1.923,1.514,5.051,3.95,28.4,29.7,49.5
DE,1759,1,2.3001049077803932,122,526,0,84,12.0,2.86,3.76,4.93,6.16,4.0,7.0,11.2,17.7,508,0.917,1.653,1.162,4.54,3.374,29.7,29.3,48.4
DELL,1759,1,2.2345715716114043,139,527,0,88,12.58,2.72,3.46,4.62,6.31,3.0,6.0,11.2,15.3,510,0.423,2.087,1.983,6.397,6.986,27.3,30.6,56.7
DHL.DE,1781,1,2.456546927426183,118,525,3,81,11.57,3.11,3.81,5.14,7.14,4.0,7.0,11.0,20.0,509,0.494,2.301,1.957,5.155,4.003,29.5,31.2,52.5
DHR,1759,1,2.0551527502582734,125,553,0,95,13.58,2.56,3.41,4.71,6.01,3.0,7.0,11.0,16.0,529,1.081,1.789,0.966,4.23,2.431,27.4,29.1,43.5
DIS,1759,1,2.729669826622346,96,530,0,55,7.86,4.06,5.19,6.63,8.99,11.0,14.0,22.5,28.6,512,1.627,1.802,0.824,3.366,1.767,28.3,29.3,36.9
DTE.DE,1781,1,2.3261461996332384,102,494,3,79,11.28,2.89,3.68,5.34,6.74,3.0,7.0,13.5,17.2,479,0.712,2.064,1.112,5.211,4.171,28.6,29.2,48.4
DTG.DE,1221,1,2.7391129585424663,76,347,0,42,8.77,3.2,4.24,5.77,7.96,5.0,9.0,17.8,22.9,331,0.763,1.904,1.669,4.542,3.464,29.9,29.3,49.5
DUK,1759,1,2.1595944903931006,116,492,0,78,11.15,2.66,3.48,5.09,6.6,4.0,7.5,14.0,19.3,475,0.925,1.534,1.084,3.8,2.629,29.3,29.7,48.6
DXCM,1759,1,1.976644843714277,97,500,0,94,13.43,2.56,3.35,4.62,6.09,4.0,6.5,11.0,15.7,487,0.748,1.675,1.158,4.555,3.079,27.7,27.7,50.5
EMR,1759,1,2.075409843095382,121,531,0,89,12.72,2.65,3.52,5.05,6.05,4.0,7.0,12.0,16.0,516,0.8,1.562,1.009,4.529,3.258,27.3,30.2,49.2
ENB,1759,1,2.4272925839461803,114,516,0,69,9.86,3.13,4.01,5.94,6.96,4.0,7.0,12.0,24.2,501,1.056,2.025,1.21,4.218,2.415,26.7,28.9,45.7
ENR.DE,1527,1,2.1221467268697634,98,433,1,84,14.03,2.83,3.23,4.36,6.38,3.0,5.0,9.0,15.0,414,0.603,1.726,1.244,5.309,4.476,28.7,31.2,50.2
EOAN.DE,1781,1,2.4951426710947455,112,488,3,66,9.43,3.29,4.38,5.43,6.49,4.0,8.0,15.0,25.5,470,0.844,2.174,1.486,4.365,3.264,28.9,28.9,50.2
EQIX,1759,1,2.171269812025798,111,514,0,84,12.0,2.74,3.24,4.65,7.1,4.0,6.5,11.2,19.0,498,0.817,1.824,1.146,4.139,2.949,30.3,29.5,48.6
EQNR,1759,1,2.4533947098327564,135,643,0,88,12.58,3.06,3.84,5.52,7.01,3.0,7.5,12.0,17.0,623,0.958,1.956,1.503,4.447,3.065,31.0,30.2,44.5
ETN,1759,1,2.254284344448536,141,559,0,87,12.43,2.66,3.3,4.58,5.8,3.0,6.0,10.0,16.4,539,0.481,1.966,1.715,5.735,4.302,28.6,29.9,55.3
EXC,1759,1,2.159321811438209,81,481,0,85,12.15,2.92,3.69,4.77,6.45,4.0,7.0,13.0,18.0,464,0.817,1.675,0.914,3.912,2.832,27.8,28.4,49.1
FANG,1759,1,2.024675956343144,123,552,0,101,14.43,2.49,3.24,4.26,6.51,3.0,6.0,10.0,17.0,533,0.745,1.483,0.954,4.681,3.087,26.5,27.0,51.2
FAST,1759,1,2.2812836428754397,126,542,0,77,11.0,2.79,3.39,4.32,5.67,4.0,7.0,12.0,15.4,522,0.643,1.81,1.349,4.845,3.443,29.5,29.1,56.3
FDX,1759,1,2.174637017142898,113,513,0,84,12.0,2.95,3.93,4.99,6.65,4.0,7.5,11.2,17.4,498,0.513,1.748,1.243,4.702,4.13,28.1,28.7,51.2
FRE.DE,1781,1,2.8451603717327787,100,488,3,58,8.28,3.22,4.01,7.18,10.56,6.0,12.0,23.0,30.3,470,1.092,2.248,1.065,4.136,2.397,29.1,29.8,41.7
FTNT,1759,1,2.6181948369122336,92,502,0,70,10.0,3.12,3.83,5.13,6.64,4.0,8.0,13.0,19.0,480,0.927,2.089,1.291,5.09,4.568,27.9,29.8,48.5
GD,1759,1,2.414430712090164,125,513,0,75,10.72,2.85,3.65,4.89,6.41,5.0,8.0,14.0,20.0,498,0.423,1.946,2.089,4.662,4.379,29.7,28.7,58.8
GE,1759,1,2.4896413173460257,115,492,0,74,10.57,2.92,3.63,4.58,6.24,4.0,6.0,11.0,21.7,475,0.415,2.158,1.822,5.991,4.526,28.6,31.6,56.4
GEHC,947,1,2.2888900444192455,42,274,0,41,10.85,3.09,4.03,5.51,7.45,5.0,8.0,15.0,21.0,253,0.985,1.697,0.849,4.176,2.487,26.9,30.4,45.1
GEV,627,1,2.450128242549201,51,185,0,29,11.61,3.01,3.38,4.05,4.98,3.0,6.0,9.0,14.4,160,0.0,2.475,4.326,8.453,8.607,31.9,31.2,65.6
GFS,1232,1,2.834931534112145,66,354,0,40,8.15,3.34,5.02,7.38,8.49,8.5,13.5,25.0,35.2,333,1.814,1.674,0.909,4.003,1.916,27.0,29.1,36.0
GILD,1759,1,2.471779033487499,117,485,0,70,10.0,3.11,3.97,5.04,6.32,5.2,8.0,14.0,24.1,464,0.905,1.772,1.172,3.928,3.234,27.8,27.2,54.7
