ticker,kerzen,pivot_kontrolle,t_atr,t_serien,pruefttage,luecken_offen,korrekturen,korrekturen_je_jahr,tiefe_p25,tiefe_p50,tiefe_p75,tiefe_p90,dauer_p25,dauer_p50,dauer_p75,dauer_p90,mit_ergebnis,risiko_p33,chance_a_median,ratio_a_p67,chance_b_median,ratio_b_p67,gut_a_pct,gut_b_pct,haelt2_pct
LRCX,1759,1,2.4831197789860626,136,534,0,79,11.29,2.76,3.64,4.92,6.29,3.5,6.0,13.5,21.0,512,0.509,2.24,1.962,6.214,5.063,29.3,28.7,54.5
LULU,1759,1,2.3031345791606928,106,526,0,74,10.57,3.14,3.88,6.24,8.03,6.0,8.5,13.0,23.0,504,1.366,1.688,0.973,4.702,2.668,28.6,29.8,41.9
MA,1759,1,2.424541130768999,120,543,0,71,10.15,2.98,3.91,4.83,6.57,4.0,7.0,11.0,15.0,526,1.045,2.293,1.103,4.155,2.396,29.1,29.5,43.5
MAR,1759,1,2.422891705009266,120,513,0,73,10.43,3.15,3.85,4.86,6.22,5.0,7.0,13.0,19.0,494,0.529,1.986,1.801,4.851,3.965,28.3,28.9,52.4
MBG.DE,1781,1,2.2331260604500405,101,533,3,88,12.57,2.8,3.59,4.99,6.95,4.0,7.0,12.0,19.3,514,1.062,1.709,0.802,3.335,2.515,28.6,31.3,42.4
MCD,1759,1,2.1522136870978437,106,523,0,85,12.15,2.67,3.42,4.66,6.18,3.0,6.0,11.0,16.0,510,0.977,1.633,0.871,3.594,2.318,28.4,29.0,52.0
MCHP,1759,1,2.6611042784273895,112,548,0,61,8.72,3.44,4.53,5.92,7.75,8.0,13.0,20.0,27.0,526,1.221,1.76,0.951,3.812,2.222,29.1,28.7,43.7
MCK,1759,1,2.3574596187409416,123,513,0,76,10.86,3.05,3.65,4.18,5.44,4.0,7.0,12.0,16.5,499,0.246,1.83,2.844,6.18,5.68,28.9,27.1,68.1
MDB,1759,1,2.47732318349912,125,508,0,74,10.57,3.3,3.91,5.34,7.38,5.0,8.5,14.0,20.4,489,0.696,2.2,1.69,5.644,4.312,29.2,30.3,49.1
MDLZ,1759,1,2.3302588596953253,106,527,0,78,11.15,2.95,3.54,4.74,7.26,5.0,7.0,13.8,22.6,504,1.728,1.658,0.749,3.695,2.032,27.2,28.2,39.9
MDT,1759,1,2.5147472934050863,87,505,0,65,9.29,3.05,3.97,5.58,7.86,4.0,9.0,19.0,27.2,484,0.715,1.927,1.122,3.455,2.357,28.3,30.0,46.9
MELI,1759,1,2.440420660054923,118,511,0,72,10.29,3.03,3.62,5.37,7.27,4.0,9.0,13.0,24.7,491,0.839,1.893,1.401,4.804,3.437,29.3,30.5,47.9
META,1759,1,2.095898668811519,134,528,0,96,13.72,2.72,3.34,4.63,5.89,3.0,6.0,11.0,15.0,509,0.402,1.723,1.165,5.288,4.287,26.3,29.7,50.5
MFG,1759,1,2.404493441313315,102,492,0,75,10.72,3.1,3.73,6.04,7.34,3.0,7.0,13.5,22.6,467,0.625,2.333,2.244,5.469,5.107,29.6,28.5,56.7
MMM,1759,1,2.544941277582944,92,503,0,61,8.72,3.13,4.09,5.33,9.48,5.0,10.0,17.0,33.0,485,0.996,1.783,1.177,3.629,2.299,28.9,30.3,46.0
MNST,1759,1,2.2487357199664544,112,498,0,75,10.72,2.75,3.64,4.95,6.44,4.0,8.0,11.0,15.0,480,0.193,2.013,1.749,4.59,3.693,28.3,28.5,56.0
MO,1759,1,2.4000021729674925,98,476,0,79,11.29,2.95,3.7,5.18,7.2,3.0,6.0,14.0,20.0,453,1.013,1.95,1.089,3.761,3.277,29.1,27.2,48.8
MPC,1759,1,2.0985269292384356,97,532,0,82,11.72,2.57,3.5,4.53,6.03,4.0,7.0,10.0,16.8,511,0.251,1.951,2.048,5.615,5.401,26.4,29.0,58.9
MRK,1759,1,2.723185273336153,106,523,0,62,8.86,3.3,4.41,5.44,7.47,6.0,11.0,17.0,26.6,501,1.097,1.837,1.01,3.588,2.206,28.3,28.7,46.1
MRK.DE,1781,1,2.246325561635701,119,513,3,83,11.86,2.94,3.77,5.29,6.54,4.0,7.0,12.0,19.8,490,0.908,1.942,0.96,4.265,2.569,29.4,29.8,43.5
MRNA,1759,1,2.6250700129973397,103,466,0,65,9.29,3.34,4.39,6.56,10.31,6.0,11.0,20.0,33.2,447,0.963,2.014,1.411,4.537,4.547,28.9,30.2,49.0
MRVL,1759,1,2.4272934280251244,116,547,0,75,10.72,3.08,3.93,5.0,6.45,4.0,9.0,14.5,21.0,526,1.109,1.912,1.318,5.519,3.746,28.7,29.8,44.5
MS,1759,1,2.1288039206988834,137,552,0,85,12.15,2.79,3.5,4.59,6.01,4.0,6.0,11.0,14.6,531,0.425,2.027,1.845,5.904,5.125,27.9,28.8,56.3
MSFT,1759,1,2.1451985237968154,145,529,0,93,13.29,2.55,3.33,4.67,5.64,3.0,6.0,11.0,16.0,509,0.639,1.795,1.717,5.913,3.945,28.5,29.7,50.9
MSTR,1759,1,2.544093529974001,94,528,0,64,9.15,3.17,4.53,7.12,8.54,5.8,11.0,17.0,27.0,505,0.92,1.805,1.494,4.664,4.137,28.7,28.3,49.3
MTX.DE,1781,1,2.1416848928759475,107,536,3,94,13.43,2.76,3.5,4.68,5.67,4.0,6.0,10.8,14.7,518,0.836,1.818,1.222,4.23,2.856,28.4,29.3,48.3
MU,1759,1,2.365185736277561,112,554,0,80,11.43,2.87,3.48,5.15,6.52,4.0,6.0,14.0,19.1,534,0.543,2.057,1.757,5.052,5.32,28.3,30.1,53.6
MUFG,1759,1,2.6826360470601136,117,569,0,68,9.72,3.3,4.18,5.83,8.43,4.8,10.0,14.0,25.0,542,0.686,2.689,2.472,6.989,5.996,30.1,29.7,55.9
MUV2.DE,1781,1,2.36486559631727,101,512,3,77,11.0,3.02,3.9,5.06,6.51,3.0,6.0,11.0,19.4,488,0.893,1.945,1.151,5.066,3.006,28.9,29.5,47.1
NEE,1759,1,2.0891184999889316,103,499,0,85,12.15,2.7,3.74,4.89,6.96,3.0,6.0,12.0,17.0,486,1.073,1.688,0.82,3.978,2.444,27.2,28.6,46.1
NEM,1759,1,2.229632249513166,134,573,0,81,11.57,2.95,3.79,4.91,7.02,4.0,6.0,11.0,20.0,551,1.358,1.688,0.861,5.067,2.88,28.7,30.5,41.0
NET,1759,1,2.5109897068257783,123,507,0,75,10.72,3.13,3.97,4.68,6.64,4.0,9.0,14.0,18.6,489,0.584,2.15,1.813,6.399,5.176,28.4,28.4,53.0
NFLX,1759,1,2.3006509553117698,123,488,0,72,10.29,3.0,3.82,4.82,7.28,5.0,9.0,12.8,20.8,469,0.58,1.972,1.522,5.687,4.231,29.6,28.8,55.2
NKE,1759,1,2.6330281490332634,89,514,0,62,8.86,3.47,5.03,6.31,8.84,5.0,9.0,18.0,28.7,495,2.033,1.807,0.677,3.129,1.522,27.7,29.3,33.3
NOW,1759,1,2.287545991625141,112,526,0,81,11.57,2.89,3.71,5.06,6.51,4.0,7.0,12.0,16.0,506,0.417,2.081,1.763,4.615,3.913,27.9,29.8,52.0
NVDA,1759,1,2.162502351085558,125,514,0,92,13.15,2.72,3.42,4.37,4.93,4.0,6.0,9.2,13.9,491,0.174,1.864,1.941,6.961,6.429,27.5,28.3,57.8
NVO,1759,1,2.1565154833238305,150,621,0,98,14.0,2.82,3.89,5.04,6.64,4.0,7.0,11.0,15.0,598,1.036,1.957,1.16,5.561,3.902,28.1,30.1,48.0
NVS,1759,1,2.199705243275127,133,619,0,91,13.0,2.82,4.13,5.39,6.89,4.0,7.0,10.0,16.0,595,1.632,1.954,0.9,5.357,2.496,28.6,28.2,36.5
NXPI,1759,1,2.6123081959799985,115,555,0,68,9.72,3.24,3.93,5.14,6.76,6.0,10.5,14.2,25.8,527,0.876,2.023,1.23,4.312,2.784,29.4,28.5,47.2
ODFL,1759,1,2.2079513822435937,116,511,0,84,12.0,2.96,3.48,4.53,5.68,4.0,7.5,13.2,18.7,489,0.49,1.976,1.389,5.736,4.94,29.4,28.4,55.2
ON,1759,1,2.4560274729332106,115,526,0,73,10.43,3.04,3.61,5.43,7.15,5.0,8.0,14.0,21.6,503,0.943,2.024,1.564,4.616,3.881,30.0,28.8,54.9
ORCL,1759,1,2.265938260572379,117,502,0,87,12.43,2.75,3.79,5.1,6.45,3.0,7.0,13.0,18.4,482,1.018,1.651,1.198,6.127,3.963,30.1,29.0,42.9
ORLY,1759,1,2.190029610106034,95,492,0,80,11.43,2.59,3.53,4.57,5.51,4.0,7.0,12.0,17.2,470,0.396,1.867,1.604,4.912,3.469,27.7,27.7,61.3
P911.DE,1015,1,3.149536464821365,44,280,0,25,6.27,3.73,5.32,8.68,11.03,10.0,18.0,25.0,42.6,265,1.918,1.884,0.8,2.596,1.159,29.8,29.1,34.0
PAH3.DE,1781,1,3.0409153711000805,78,517,3,49,7.0,4.35,5.58,7.58,9.97,9.0,16.0,24.0,33.0,496,2.569,1.815,0.619,2.824,1.104,27.0,29.2,30.4
PANW,1759,1,2.170222750242293,123,505,0,83,11.86,2.8,3.43,5.4,6.36,3.0,7.0,10.0,16.0,484,0.907,1.885,1.069,4.943,3.475,27.5,29.1,45.9
PAYX,1759,1,2.418919993581289,110,520,0,72,10.29,3.02,3.59,5.36,7.72,5.0,7.0,13.8,23.9,501,0.941,1.912,1.169,4.521,2.654,27.3,26.5,51.7
PBR,1759,1,2.3086228977231777,107,531,0,76,10.86,2.86,4.07,5.82,7.25,4.0,9.0,14.0,21.0,512,1.177,1.943,1.197,4.114,2.576,28.3,29.7,43.9
PCAR,1759,1,2.295575473243216,95,521,0,76,10.86,3.06,3.73,4.41,6.49,3.8,9.0,15.2,22.0,504,0.907,1.514,0.959,4.568,3.524,27.2,28.4,56.5
PDD,1759,1,2.437935770815619,113,583,0,72,10.29,3.17,4.33,5.94,9.77,4.0,10.0,16.0,24.0,565,1.468,1.948,1.089,3.966,2.929,29.2,29.4,41.4
PEP,1759,1,2.0913134204238597,114,537,0,88,12.58,2.56,3.35,4.67,6.57,4.0,6.0,13.0,19.0,517,1.216,1.682,0.8,3.412,1.925,25.5,28.6,43.7
PFE,1759,1,2.9400019359597853,77,483,0,45,6.43,3.93,5.57,7.69,10.0,9.0,15.0,27.0,42.0,461,1.437,2.022,1.161,3.75,2.112,29.9,29.1,39.5
PG,1759,1,2.1913003948361656,120,504,0,85,12.15,2.74,3.51,4.79,6.77,3.0,6.0,11.0,19.6,479,1.258,1.594,0.872,3.815,2.074,26.1,29.6,44.9
PGR,1759,1,2.2178756947103047,118,506,0,86,12.29,2.81,3.54,4.52,5.7,2.2,6.0,10.8,14.5,486,0.535,1.69,1.128,4.183,3.363,28.2,29.2,54.1
PH,1759,1,2.2364130633267463,134,541,0,89,12.72,2.67,3.23,4.52,6.26,3.0,6.0,11.0,15.0,524,0.407,1.883,2.105,5.547,4.697,27.5,29.6,56.1
PLD,1759,1,2.176091795688571,124,542,0,79,11.29,2.69,3.43,5.2,6.86,4.0,7.0,14.0,18.2,523,0.704,1.909,1.316,4.544,3.356,29.6,30.0,56.6
PLTR,1504,1,2.28310560231858,105,433,0,73,12.2,2.93,3.67,4.78,6.3,3.0,7.0,11.0,16.0,409,0.708,2.119,1.462,5.26,4.288,27.9,29.3,54.5
PM,1759,1,2.266475798162751,115,516,0,85,12.15,2.74,3.86,5.21,6.05,4.0,7.0,11.0,16.2,497,1.164,1.972,1.031,4.474,3.517,27.8,29.4,45.3
PSX,1759,1,2.1781098011848767,110,540,0,80,11.43,2.74,3.87,5.07,6.21,4.0,7.5,14.0,20.0,521,0.979,1.794,1.238,4.929,3.816,27.6,29.6,48.8
PYPL,1759,1,2.5885853520127338,112,513,0,64,9.15,3.39,4.2,6.19,9.99,4.0,9.0,17.0,22.7,493,1.15,2.145,1.287,4.445,2.839,29.0,30.6,42.4
QCOM,1759,1,2.7869489646618617,101,569,0,56,8.0,3.44,4.19,6.11,9.39,5.8,10.0,19.2,29.5,547,0.734,2.314,1.82,4.441,4.503,29.6,27.4,48.6
QIA.DE,1781,1,2.2854206469926717,101,523,3,81,11.57,2.85,3.78,5.44,8.09,3.0,7.0,13.0,20.0,497,1.403,1.662,0.796,3.759,1.958,29.2,28.6,40.2
REGN,1759,1,2.3884580222513705,110,505,0,73,10.43,2.9,3.54,5.07,7.35,5.0,8.0,13.0,19.8,483,0.787,1.932,1.498,4.298,3.372,28.8,29.2,49.5
RHM.DE,1781,1,2.5830258302583027,87,495,3,67,9.57,3.02,3.89,5.41,7.03,5.0,7.0,15.0,26.0,477,0.631,1.859,1.28,4.12,3.002,28.9,28.9,48.8
RIO,1759,1,1.9873780021471426,156,688,0,104,14.86,2.49,3.39,5.03,7.37,3.0,5.0,12.0,15.7,663,1.386,1.744,1.037,4.965,3.352,28.1,32.6,39.1
ROP,1759,1,1.9927735683159367,119,539,0,97,13.86,2.57,3.25,4.08,5.86,4.0,6.0,10.0,14.4,520,1.133,1.501,0.787,3.555,2.254,27.9,28.7,45.4
ROST,1759,1,2.4803316887978633,121,524,0,75,10.72,3.04,3.9,5.42,7.27,4.5,8.0,14.0,22.0,503,0.592,2.069,1.542,4.815,3.423,26.8,28.0,54.1
RTX,1759,1,2.056301511916807,116,533,0,96,13.72,2.6,3.29,4.34,6.42,3.0,6.0,10.0,15.0,512,0.553,1.696,1.155,5.079,3.561,27.9,28.7,55.1
RWE.DE,1781,1,2.2377958980893173,101,477,3,87,12.43,2.8,3.38,4.65,5.92,4.0,7.0,12.0,16.0,459,0.627,1.894,1.214,4.359,3.22,26.4,29.0,53.4
RY,1759,1,2.0140336192942407,137,535,0,96,13.72,2.94,3.73,4.56,6.11,3.8,6.0,10.0,14.0,516,0.833,1.884,1.315,5.334,4.802,30.0,31.0,50.8
SAN,1759,1,1.887700884533071,156,560,0,107,15.29,2.68,3.42,4.75,6.45,3.0,6.0,9.0,14.4,532,0.794,1.71,1.163,5.568,4.082,28.2,29.1,50.2
SAP.DE,1781,1,2.3759956722296143,113,542,3,78,11.14,2.8,3.61,5.0,6.5,4.2,7.0,12.8,19.3,523,1.006,1.676,1.087,3.97,3.194,27.5,30.2,48.0
SBUX,1759,1,2.2949743021114863,120,507,0,78,11.15,2.87,3.97,5.07,7.48,4.0,7.0,14.0,22.3,485,0.918,1.855,1.028,4.27,3.014,28.7,29.9,45.8
SCCO,1759,1,2.1706013389940324,138,580,0,96,13.72,2.49,3.23,4.44,5.97,4.0,6.5,11.2,15.5,556,0.608,1.786,1.613,5.543,4.908,28.8,30.2,51.8
SCHW,1759,1,2.2330894500874527,102,537,0,86,12.29,2.61,3.16,4.73,6.83,4.0,6.0,11.0,17.5,520,0.715,1.781,1.394,5.198,4.538,27.5,30.4,57.3
SHEL,1759,1,2.4294735946643873,139,626,0,85,12.15,3.16,3.76,5.33,6.7,4.0,7.0,11.0,17.2,601,1.032,1.803,0.91,4.118,2.584,28.1,27.5,42.3
SHL.DE,1781,1,2.360549196453544,98,510,3,74,10.57,2.96,3.97,5.86,7.15,5.0,8.0,15.0,23.7,486,0.923,1.697,0.891,3.704,2.43,27.0,29.2,45.3
SHOP,1759,1,2.565482849389098,108,492,0,69,9.86,3.15,3.75,5.64,7.49,5.0,10.0,17.0,20.2,474,0.886,2.362,1.367,5.782,4.175,28.7,29.3,45.8
SHW,1759,1,2.388899235025492,106,533,0,72,10.29,2.94,3.95,5.35,7.07,3.8,7.0,14.0,20.8,511,0.879,1.735,1.118,4.763,2.744,29.2,29.7,44.2
SIE.DE,1781,1,2.298265636836912,128,541,3,82,11.71,2.87,3.47,4.52,6.45,4.0,7.5,12.0,17.8,521,0.624,1.942,1.573,4.701,3.659,27.8,28.4,52.0
SMFG,1759,1,2.3419797479986704,114,540,0,80,11.43,2.92,3.78,5.64,7.64,3.8,7.0,13.0,22.1,513,0.572,2.405,1.942,6.653,5.035,28.7,29.6,48.3
SNDK,406,1,2.1437380080017903,19,117,0,18,11.16,2.62,3.01,3.52,5.49,2.0,5.0,7.8,13.6,97,0.0,4.133,11.687,20.865,42.202,42.3,41.2,85.6
SNOW,1514,1,2.2290961713245485,105,456,0,76,12.62,2.88,3.7,5.14,6.81,4.0,8.0,12.0,17.0,431,1.029,1.889,0.972,4.84,3.032,28.8,28.8,44.1
SNPS,1759,1,2.0085888600674373,126,509,0,85,12.15,2.81,3.69,5.14,6.72,3.0,7.0,13.0,17.0,492,0.68,1.691,1.211,5.481,3.996,28.0,29.7,52.0
SNY,1759,1,2.144932217228364,106,638,0,95,13.58,2.89,4.0,5.3,7.25,4.0,7.0,11.5,17.0,615,1.613,1.697,0.876,3.746,2.064,26.8,29.1,39.8
SO,1759,1,2.151823013390208,121,494,0,81,11.57,2.67,3.43,4.66,5.92,4.0,7.0,12.0,18.0,477,0.847,1.726,1.086,4.258,3.06,28.5,28.7,47.8
SONY,1759,1,2.329606645996445,140,621,0,87,12.43,3.01,4.05,6.49,8.17,4.0,8.0,13.5,20.0,600,1.337,1.882,1.094,4.891,2.921,30.3,29.0,41.7
SPG,1759,1,2.4577510627325116,111,531,0,71,10.15,3.04,3.65,5.21,6.41,6.0,8.0,14.0,21.0,507,0.333,2.073,2.111,5.122,4.355,28.6,29.6,58.0
SPGI,1759,1,1.9384811248949303,130,514,0,106,15.15,2.31,3.04,4.58,6.35,3.0,5.0,9.0,15.0,497,1.005,1.591,0.926,4.637,2.595,27.8,29.8,45.3
SPOT,1759,1,2.311069297790253,131,520,0,77,11.0,2.78,3.92,5.08,6.92,4.0,8.0,15.0,21.4,505,0.639,2.232,1.823,4.849,4.832,28.9,31.1,56.2
SRT3.DE,1781,1,2.2876436010066468,115,500,3,86,12.28,2.88,3.71,5.23,7.03,4.0,7.0,13.0,18.0,481,1.029,1.73,0.939,3.759,2.455,27.7,29.1,40.5
STX,1759,1,2.2381147788944054,125,527,0,86,12.29,2.94,3.66,5.13,6.48,4.0,7.0,11.8,19.0,504,0.333,2.062,1.776,6.242,5.995,27.8,28.6,59.7
SY1.DE,1781,1,1.9300993184504296,107,502,3,109,15.57,2.58,3.53,4.37,5.97,3.0,5.0,8.0,14.2,485,1.312,1.518,0.704,4.246,2.374,28.9,30.9,43.7
SYK,1759,1,2.455509250922861,119,539,0,67,9.57,3.06,4.11,5.11,6.64,5.0,9.0,14.0,24.0,518,0.785,2.015,1.311,3.972,2.543,26.8,29.3,48.3
T,1759,1,2.601455250953257,68,473,0,63,9.0,3.31,4.54,6.35,8.27,4.5,8.0,16.0,27.0,452,1.504,1.804,0.892,4.004,2.179,28.1,28.1,41.6
TD,1759,1,2.170695946579016,119,535,0,86,12.29,2.83,3.63,5.08,6.2,4.0,6.0,11.0,18.5,518,0.742,1.837,1.054,5.3,3.939,28.2,29.3,48.8
TEAM,1759,1,2.2188521442968825,111,514,0,86,12.29,2.81,3.75,5.25,7.01,3.0,7.0,13.8,19.0,499,1.054,1.851,1.049,4.659,3.204,28.1,29.7,45.9
TJX,1759,1,2.583121659440047,117,507,0,67,9.57,3.25,4.03,5.32,6.28,4.5,9.0,14.0,22.4,487,0.654,2.653,2.074,4.939,3.676,29.6,29.4,55.6
TM,1759,1,2.658824414416956,123,646,0,75,10.72,3.79,4.81,6.08,7.75,6.0,11.0,15.0,22.0,619,1.491,1.864,1.08,4.353,2.928,28.6,27.8,41.0
TMO,1759,1,2.163985854265048,131,518,0,82,11.72,2.75,3.38,5.09,6.38,3.0,6.0,12.0,19.9,502,0.782,1.814,1.219,4.703,3.438,28.5,29.5,49.6
TMUS,1759,1,2.4377226935112404,110,501,0,70,10.0,2.98,3.77,4.8,6.01,4.0,9.0,13.0,21.4,478,0.425,1.823,1.549,4.008,3.47,28.2,28.7,53.3
TRV,1759,1,1.9916718770151842,112,536,0,91,13.0,2.6,3.38,4.8,5.74,4.0,7.0,10.0,16.0,515,0.781,1.571,1.035,4.055,2.902,28.5,28.5,51.7
TSLA,1759,1,2.3470364184032073,105,487,0,77,11.0,3.0,3.95,5.52,7.3,4.0,8.0,15.0,21.0,469,0.702,1.814,1.666,4.431,4.891,29.0,29.9,46.5
TSM,1759,1,2.272538050220618,148,578,0,85,12.15,2.76,3.69,4.87,6.41,4.0,8.0,13.0,20.0,555,0.538,1.871,1.489,5.837,5.438,28.6,28.8,56.4
TTD,1759,1,2.40212449700147,108,502,0,76,10.86,3.12,4.32,5.82,7.52,5.0,9.0,13.2,20.0,486,1.196,1.897,1.216,4.49,3.429,29.8,29.0,41.6
TTE,1759,1,2.1625275886583872,129,669,0,96,13.72,2.68,3.59,4.77,6.63,3.0,6.0,10.0,16.0,646,1.451,1.484,0.741,4.206,2.597,28.2,28.2,40.1
TTWO,1759,1,2.3666446015661924,102,515,0,74,10.57,3.13,3.86,5.37,6.46,4.0,8.5,13.8,21.1,494,0.752,1.906,1.306,4.543,3.216,27.9,29.4,46.6
TXN,1759,1,2.3977053547225196,115,564,0,73,10.43,2.91,3.61,4.9,7.33,5.0,8.0,14.0,24.8,538,0.786,1.981,1.402,4.109,2.879,29.4,29.9,49.6
UBER,1759,1,2.5194223226251644,106,507,0,69,9.86,3.21,4.15,5.64,6.68,6.0,10.0,16.0,24.0,491,1.262,1.653,0.896,4.096,2.548,27.7,27.9,45.8
UBS,1759,1,2.0916338052143324,149,609,0,97,13.86,2.8,3.91,5.19,7.08,3.0,6.0,11.0,15.0,586,1.448,1.753,0.898,5.919,3.238,27.3,28.3,41.6
UL,1759,1,2.1052606556207953,135,634,0,100,14.29,2.72,3.99,5.51,7.36,4.0,6.0,12.0,17.2,613,1.836,1.455,0.711,4.263,2.213,27.1,29.5,35.7
UNH,1759,1,2.139097005825769,115,520,0,89,12.72,2.71,3.49,4.98,6.25,4.0,8.0,12.0,15.2,499,1.216,1.747,0.778,4.083,2.293,27.7,28.1,44.5
UNP,1759,1,2.5013785244251827,94,547,0,67,9.57,3.25,4.07,5.0,7.49,5.0,10.0,13.5,23.4,521,1.226,1.798,1.174,4.269,2.422,28.0,28.2,49.1
UPS,1759,1,2.363962191847124,106,492,0,76,10.86,2.94,3.85,5.87,7.41,4.0,8.0,13.2,22.0,474,1.081,1.89,0.958,3.869,2.112,27.8,29.3,40.5
USB,1759,1,2.1593671149221763,110,568,0,89,12.72,2.88,3.56,5.22,6.24,4.0,6.0,11.0,16.0,548,0.941,1.501,1.0,3.985,2.724,28.3,29.7,48.0
V,1759,1,2.0860484603015244,126,526,0,97,13.86,2.57,3.36,4.5,5.31,4.0,6.0,9.0,14.0,509,0.655,1.854,1.091,4.141,2.768,28.3,28.7,47.7
VLO,1759,1,2.1777013352737398,121,519,0,84,12.0,2.66,3.6,4.75,6.46,4.0,8.0,13.0,17.7,497,0.512,1.649,1.234,5.042,4.506,27.4,30.0,53.1
VNA.DE,1781,1,3.183080441411355,89,505,3,46,6.57,4.02,5.86,7.47,9.46,10.0,15.5,23.5,33.0,485,1.984,2.264,0.81,3.521,1.476,25.8,29.7,33.6
VOW3.DE,1781,1,3.310213452215879,81,501,3,41,5.86,4.5,5.85,8.12,9.92,13.0,21.0,28.0,38.0,479,2.168,1.97,0.794,2.939,1.16,27.6,28.8,30.9
VRSK,1759,1,1.8705880436408444,113,514,0,99,14.15,2.37,3.07,4.69,6.39,3.0,5.0,10.0,14.2,492,0.751,1.527,0.935,4.324,2.976,26.4,29.7,46.5
VRTX,1759,1,2.310202210053589,113,503,0,79,11.29,2.83,3.49,4.56,6.01,5.0,8.0,12.0,17.4,481,0.491,2.0,1.806,4.451,4.112,28.7,28.3,58.8
VZ,1759,1,2.638707479370318,88,498,0,59,8.43,3.7,4.53,6.77,8.38,7.0,12.0,19.5,31.0,475,1.734,1.651,0.708,3.143,1.5,28.0,28.0,36.2
WBD,1759,1,2.6571174046953545,93,484,0,60,8.57,3.61,4.47,6.1,7.95,6.8,11.0,16.2,37.1,468,1.604,1.74,1.012,3.13,1.894,29.7,28.0,39.3
WDAY,1759,1,2.4638178186019495,106,535,0,75,10.72,3.09,4.08,5.52,7.02,4.0,9.0,14.0,22.0,511,1.01,1.76,1.01,4.633,2.762,28.8,28.8,45.2
WDC,1759,1,2.529038688793582,136,546,0,78,11.15,3.15,3.67,5.86,7.07,4.0,8.0,13.0,18.0,519,0.624,2.604,2.232,5.439,4.699,28.5,30.1,50.5
WELL,1759,1,2.4033227113318834,107,513,0,69,9.86,3.17,3.7,4.54,5.69,5.0,9.0,13.0,18.6,491,0.113,2.249,2.331,5.362,4.278,25.9,26.9,64.4
WFC,1759,1,2.249542433794819,109,561,0,76,10.86,2.89,3.8,5.36,6.95,4.8,8.0,12.0,21.0,541,0.822,1.637,1.034,4.312,2.763,29.0,29.8,48.4
WMT,1759,1,2.0999006744492696,112,477,0,85,12.15,2.82,3.39,4.57,6.29,3.0,7.0,10.0,14.6,458,0.526,1.784,1.464,5.488,4.322,26.6,27.3,56.8
XEL,1759,1,2.4211169571286053,95,494,0,65,9.29,2.95,3.54,5.53,7.83,5.0,9.0,14.0,23.0,475,0.887,2.035,1.206,3.697,2.263,30.3,30.1,49.3
XOM,1759,1,2.290809027230956,117,553,0,87,12.43,2.8,3.57,4.55,5.96,4.0,7.0,11.0,15.0,529,0.756,1.619,1.252,4.585,3.504,27.8,28.4,53.5
ZAL.DE,1781,1,2.3608582377312373,96,485,3,72,10.28,3.05,4.13,6.56,8.92,5.8,9.0,16.2,21.0,469,1.793,1.73,0.686,4.045,2.203,29.2,30.7,35.4
ZS,1759,1,2.1747972937591364,112,490,0,91,13.0,2.77,3.64,4.84,6.69,4.0,6.0,10.0,15.0,472,0.845,1.878,1.325,5.491,3.641,29.2,29.7,45.1
