ticker,merkmal,ziel,n_mit_bis2022,n_ohne_bis2022,q_mit_bis2022,q_ohne_bis2022,diff_bis2022,n_mit_ab2023,n_ohne_ab2023,q_mit_ab2023,q_ohne_ab2023,diff_ab2023
ABBV,korr_tief_rang,gut_a,41,201,31.7,33.3,-1.6,43,198,25.6,23.7,1.9
ABBV,korr_tief_rang,gut_b,41,201,31.7,32.8,-1.1,43,198,25.6,28.3,-2.7
ABBV,korr_tief_rang,haelt2,41,201,65.9,60.7,5.2,43,198,53.5,50.5,3.0
ABBV,korr_lang_rang,gut_a,35,207,34.3,32.9,1.4,32,209,21.9,24.4,-2.5
ABBV,korr_lang_rang,gut_b,35,207,34.3,32.4,1.9,32,209,25.0,28.2,-3.2
ABBV,korr_lang_rang,haelt2,35,207,57.1,62.3,-5.2,32,209,50.0,51.2,-1.2
ABBV,rsi_tief_rang,gut_a,46,196,21.7,35.7,-14.0,52,189,30.8,22.2,8.6
ABBV,rsi_tief_rang,gut_b,46,196,23.9,34.7,-10.8,52,189,34.6,25.9,8.7
ABBV,rsi_tief_rang,haelt2,46,196,58.7,62.2,-3.5,52,189,78.8,43.4,35.4
ABBV,rsi_unter_50,gut_a,84,174,25.0,35.1,-10.1,94,147,26.6,22.4,4.2
ABBV,rsi_unter_50,gut_b,84,174,27.4,33.3,-5.9,94,147,29.8,26.5,3.3
ABBV,rsi_unter_50,haelt2,84,174,54.8,60.9,-6.1,94,147,62.8,43.5,19.3
ABBV,divergenz,gut_a,4,53,25.0,30.2,,7,55,0.0,29.1,
ABBV,divergenz,gut_b,4,53,0.0,26.4,,7,55,14.3,29.1,
ABBV,divergenz,haelt2,4,53,25.0,43.4,,7,55,100.0,45.5,
ABBV,ausverkauf,gut_a,14,244,14.3,32.8,-18.5,19,222,42.1,22.5,19.6
ABBV,ausverkauf,gut_b,14,244,21.4,32.0,-10.6,19,222,42.1,26.6,15.5
ABBV,ausverkauf,haelt2,14,244,85.7,57.4,28.3,19,222,94.7,47.3,47.4
ABBV,erschoepfung,gut_a,18,39,27.8,30.8,-3.0,17,45,17.6,28.9,-11.3
ABBV,erschoepfung,gut_b,18,39,27.8,23.1,4.7,17,45,17.6,31.1,-13.5
ABBV,erschoepfung,haelt2,18,39,38.9,43.6,-4.7,17,45,47.1,53.3,-6.2
ABBV,erholung_vol,gut_a,11,247,54.5,30.8,23.7,11,230,36.4,23.5,12.9
ABBV,erholung_vol,gut_b,11,247,54.5,30.4,24.1,11,230,36.4,27.4,9.0
ABBV,erholung_vol,haelt2,11,247,63.6,58.7,4.9,11,230,54.5,50.9,3.6
ABBV,zweig_a,gut_a,127,131,34.6,29.0,5.6,121,120,27.3,20.8,6.5
ABBV,zweig_a,gut_b,127,131,31.5,31.3,0.2,121,120,30.6,25.0,5.6
ABBV,zweig_a,haelt2,127,131,60.6,57.3,3.3,121,120,56.2,45.8,10.4
ABBV,zweig_b,gut_a,149,109,32.2,31.2,1.0,138,103,21.7,27.2,-5.5
ABBV,zweig_b,gut_b,149,109,34.9,26.6,8.3,138,103,26.8,29.1,-2.3
ABBV,zweig_b,haelt2,149,109,61.7,55.0,6.7,138,103,47.8,55.3,-7.5
ABBV,hammer,gut_a,10,248,20.0,32.3,-12.3,11,230,18.2,24.3,-6.1
ABBV,hammer,gut_b,10,248,20.0,31.9,-11.9,11,230,18.2,28.3,-10.1
ABBV,hammer,haelt2,10,248,60.0,58.9,1.1,11,230,36.4,51.7,-15.3
ABBV,doppelboden,gut_a,19,239,47.4,30.5,16.9,10,231,10.0,24.7,-14.7
ABBV,doppelboden,gut_b,19,239,36.8,31.0,5.8,10,231,10.0,28.6,-18.6
ABBV,doppelboden,haelt2,19,239,57.9,59.0,-1.1,10,231,30.0,51.9,-21.9
ABBV,schluss_ueber_vortageshoch,gut_a,78,180,38.5,28.9,9.6,72,169,25.0,23.7,1.3
ABBV,schluss_ueber_vortageshoch,gut_b,78,180,39.7,27.8,11.9,72,169,34.7,24.9,9.8
ABBV,schluss_ueber_vortageshoch,haelt2,78,180,59.0,58.9,0.1,72,169,56.9,48.5,8.4
ABBV,kein_neues_tief,gut_a,139,119,34.5,28.6,5.9,135,106,24.4,23.6,0.8
ABBV,kein_neues_tief,gut_b,139,119,36.0,26.1,9.9,135,106,31.1,23.6,7.5
ABBV,kein_neues_tief,haelt2,139,119,61.2,56.3,4.9,135,106,52.6,49.1,3.5
ABBV,ueber_ema200,gut_a,186,14,29.0,42.9,-13.9,191,50,17.8,48.0,-30.2
ABBV,ueber_ema200,gut_b,186,14,30.6,42.9,-12.3,191,50,22.0,50.0,-28.0
ABBV,ueber_ema200,haelt2,186,14,61.8,64.3,-2.5,191,50,40.8,90.0,-49.2
ABBV,tief_ab_2,gut_a,81,177,21.0,36.7,-15.7,121,120,30.6,17.5,13.1
ABBV,tief_ab_2,gut_b,81,177,16.0,38.4,-22.4,121,120,34.7,20.8,13.9
ABBV,tief_ab_2,haelt2,81,177,43.2,66.1,-22.9,121,120,63.6,38.3,25.3
ABNB,reif,gut_a,80,64,26.2,9.4,16.8,138,127,31.9,33.1,-1.2
ABNB,reif,gut_b,80,64,26.2,10.9,15.3,138,127,34.8,33.1,1.7
ABNB,reif,haelt2,80,64,43.8,23.4,20.4,138,127,46.4,46.5,-0.1
ABNB,korr_tief_rang,gut_a,37,96,35.1,13.5,21.6,39,226,48.7,29.6,19.1
ABNB,korr_tief_rang,gut_b,37,96,35.1,15.6,19.5,39,226,46.2,31.9,14.3
ABNB,korr_tief_rang,haelt2,37,96,59.5,27.1,32.4,39,226,51.3,45.6,5.7
ABNB,korr_lang_rang,gut_a,29,104,41.4,13.5,27.9,27,238,48.1,30.7,17.4
ABNB,korr_lang_rang,gut_b,29,104,34.5,17.3,17.2,27,238,48.1,32.4,15.7
ABNB,korr_lang_rang,haelt2,29,104,58.6,29.8,28.8,27,238,51.9,45.8,6.1
ABNB,rsi_tief_rang,gut_a,51,82,31.4,12.2,19.2,52,213,55.8,26.8,29.0
ABNB,rsi_tief_rang,gut_b,51,82,29.4,15.9,13.5,52,213,50.0,30.0,20.0
ABNB,rsi_tief_rang,haelt2,51,82,54.9,24.4,30.5,52,213,69.2,40.8,28.4
ABNB,rsi_unter_50,gut_a,78,66,25.6,10.6,15.0,126,139,34.1,30.9,3.2
ABNB,rsi_unter_50,gut_b,78,66,24.4,13.6,10.8,126,139,38.1,30.2,7.9
ABNB,rsi_unter_50,haelt2,78,66,42.3,25.8,16.5,126,139,45.2,47.5,-2.3
ABNB,divergenz,gut_a,12,42,16.7,31.0,-14.3,11,65,63.6,30.8,32.8
