ticker,zeitraum,puffer,punkte,faelle,rendite_mittel,rendite_median,ko_quote
AIR.DE,ab2023,1.0,1,151,12.5,-23.3,23.8
AIR.DE,ab2023,1.0,2,45,34.8,14.4,13.3
AIR.DE,ab2023,1.0,3,3,-30.5,-49.0,33.3
AIR.DE,bis2022,1.0,0,81,-11.3,-33.2,33.3
AIR.DE,bis2022,1.0,1,125,-15.5,-40.9,25.6
AIR.DE,bis2022,1.0,2,27,-11.9,-14.9,18.5
AIR.DE,bis2022,1.0,3,7,40.7,7.9,0.0
ALV.DE,ab2023,1.0,0,72,1.4,-41.2,30.6
ALV.DE,ab2023,1.0,1,153,-0.2,-13.9,16.3
ALV.DE,ab2023,1.0,2,17,55.7,39.3,5.9
ALV.DE,ab2023,1.0,3,1,70.5,70.5,0.0
ALV.DE,bis2022,1.0,0,79,-20.3,-100.0,53.2
ALV.DE,bis2022,1.0,1,130,4.1,-44.5,30.0
ALV.DE,bis2022,1.0,2,37,8.0,-29.5,21.6
ALV.DE,bis2022,1.0,3,4,-3.9,-28.2,0.0
AMAT,ab2023,1.0,0,84,8.6,-49.8,47.6
AMAT,ab2023,1.0,1,169,6.7,-29.1,21.3
AMAT,ab2023,1.0,2,31,88.3,31.4,12.9
AMAT,ab2023,1.0,3,3,-45.3,-54.3,33.3
AMAT,bis2022,1.0,0,79,0.4,-28.4,36.7
AMAT,bis2022,1.0,1,123,-0.3,-24.3,21.1
AMAT,bis2022,1.0,2,43,15.7,-29.9,25.6
AMD,ab2023,1.0,0,85,37.4,-58.6,44.7
AMD,ab2023,1.0,1,126,17.4,-19.4,22.2
AMD,ab2023,1.0,2,52,29.4,-3.4,9.6
AMD,ab2023,1.0,3,4,184.2,187.8,0.0
AMD,bis2022,1.0,0,68,23.7,-43.3,33.8
AMD,bis2022,1.0,1,133,19.8,-17.9,17.3
AMD,bis2022,1.0,2,37,14.9,3.4,24.3
AMGN,ab2023,1.0,0,76,13.1,-86.2,46.1
AMGN,ab2023,1.0,1,145,26.1,-30.0,26.9
AMGN,ab2023,1.0,2,37,-14.3,-56.8,29.7
AMGN,bis2022,1.0,0,76,-9.4,-50.0,38.2
AMGN,bis2022,1.0,1,132,1.2,-31.4,22.0
AMGN,bis2022,1.0,2,33,46.0,31.2,9.1
AMGN,bis2022,1.0,3,2,148.1,148.1,0.0
AMT,ab2023,1.0,0,97,-1.0,-100.0,53.6
AMT,ab2023,1.0,1,122,-11.5,-48.1,36.9
AMT,ab2023,1.0,2,38,-16.6,-29.6,21.1
AMT,ab2023,1.0,3,4,-55.8,-74.9,50.0
AMT,bis2022,1.0,0,82,-8.1,-87.6,48.8
AMT,bis2022,1.0,1,119,-0.0,-33.1,22.7
AMT,bis2022,1.0,2,22,75.7,52.0,9.1
AMZN,ab2023,1.0,0,93,12.6,-20.2,30.1
AMZN,ab2023,1.0,1,151,14.4,-6.9,15.9
AMZN,ab2023,1.0,2,24,0.2,-34.6,25.0
AMZN,ab2023,1.0,3,2,36.1,36.1,0.0
AMZN,bis2022,1.0,0,70,47.5,8.1,30.0
AMZN,bis2022,1.0,1,110,16.5,-16.6,15.5
AMZN,bis2022,1.0,2,42,23.4,0.6,11.9
AMZN,bis2022,1.0,3,6,15.8,-33.8,16.7
ANET,ab2023,1.0,0,89,41.0,0.6,36.0
ANET,ab2023,1.0,1,140,-8.6,-29.0,26.4
ANET,ab2023,1.0,2,34,53.5,32.1,8.8
ANET,ab2023,1.0,3,5,28.0,0.3,0.0
ANET,bis2022,1.0,0,71,39.5,-23.9,31.0
ANET,bis2022,1.0,1,134,25.8,-33.7,25.4
ANET,bis2022,1.0,2,37,38.0,4.7,21.6
APH,ab2023,1.0,0,80,9.9,-47.3,43.8
APH,ab2023,1.0,1,155,20.8,-8.9,22.6
APH,ab2023,1.0,2,35,53.1,-18.5,5.7
APH,ab2023,1.0,3,2,25.2,25.2,0.0
APH,bis2022,1.0,0,85,14.0,-27.5,28.2
APH,bis2022,1.0,1,139,-13.5,-30.5,24.5
APH,bis2022,1.0,2,29,-15.4,-17.5,20.7
APP,ab2023,1.0,0,90,106.0,70.7,26.7
APP,ab2023,1.0,1,145,52.6,33.4,16.6
APP,ab2023,1.0,2,29,73.4,8.6,10.3
APP,ab2023,1.0,3,1,403.1,403.1,0.0
APP,bis2022,1.0,0,40,-68.8,-100.0,52.5
APP,bis2022,1.0,1,54,-24.5,-56.1,35.2
APP,bis2022,1.0,2,10,-41.7,-41.9,20.0
APP,bis2022,1.0,3,2,-30.3,-30.3,0.0
ARM,ab2023,1.0,0,64,104.0,-20.0,48.4
ARM,ab2023,1.0,1,106,42.0,1.9,34.0
ARM,ab2023,1.0,2,23,8.9,-47.6,39.1
ARM,ab2023,1.0,3,2,24.3,24.3,0.0
ASML,ab2023,1.0,0,97,21.6,-53.5,35.1
ASML,ab2023,1.0,1,145,26.6,-19.0,24.1
ASML,ab2023,1.0,2,30,-10.7,-19.2,20.0
ASML,ab2023,1.0,3,2,87.9,87.9,0.0
ASML,bis2022,1.0,0,79,27.8,-37.0,32.9
ASML,bis2022,1.0,1,151,31.5,-7.7,19.2
ASML,bis2022,1.0,2,39,-9.0,-32.6,20.5
ASML,bis2022,1.0,3,1,-63.1,-63.1,0.0
AVGO,ab2023,1.0,0,81,38.4,-30.3,37.0
AVGO,ab2023,1.0,1,143,3.2,-30.4,28.7
AVGO,ab2023,1.0,2,44,45.7,-27.8,6.8
AVGO,ab2023,1.0,3,3,-1.8,-70.0,0.0
AVGO,bis2022,1.0,0,71,27.1,-35.3,31.0
AVGO,bis2022,1.0,1,133,36.5,-11.2,17.3
AVGO,bis2022,1.0,2,30,36.2,-9.6,16.7
AXON,ab2023,1.0,0,70,18.4,-47.3,42.9
AXON,ab2023,1.0,1,120,43.2,-1.1,20.8
AXON,ab2023,1.0,2,48,5.2,-33.6,14.6
AXON,ab2023,1.0,3,4,-14.3,-15.7,0.0
AXON,bis2022,1.0,0,86,9.8,-77.4,46.5
AXON,bis2022,1.0,1,113,50.7,-19.0,18.6
AXON,bis2022,1.0,2,22,-11.6,-38.0,13.6
AXON,bis2022,1.0,3,1,315.8,315.8,0.0
AXP,ab2023,1.0,0,93,24.9,-47.8,38.7
AXP,ab2023,1.0,1,136,7.4,-24.4,30.9
AXP,ab2023,1.0,2,37,59.6,36.5,10.8
AXP,ab2023,1.0,3,4,-16.1,-33.5,25.0
AXP,bis2022,1.0,0,93,-13.0,-66.5,45.2
AXP,bis2022,1.0,1,128,4.9,-8.8,20.3
AXP,bis2022,1.0,2,24,-3.4,-17.4,12.5
AXP,bis2022,1.0,3,5,-46.8,-57.0,20.0
AZN,ab2023,1.0,0,105,32.3,-85.2,48.6
AZN,ab2023,1.0,1,156,-3.4,-35.4,25.0
AZN,ab2023,1.0,2,35,18.7,-12.0,11.4
AZN,ab2023,1.0,3,3,74.0,61.8,0.0
AZN,bis2022,1.0,0,70,7.4,-31.2,35.7
AZN,bis2022,1.0,1,168,-2.7,-27.9,26.2
AZN,bis2022,1.0,2,35,8.3,-23.6,14.3
AZN,bis2022,1.0,3,2,-0.8,-0.8,0.0
BABA,ab2023,1.0,0,127,9.9,-79.8,47.2
BABA,ab2023,1.0,1,153,9.2,-28.7,26.1
BABA,ab2023,1.0,2,36,16.7,-17.4,22.2
