ticker,zeitraum,band,klasse,n,ew_atr
CTSH,ab2023,weit,0-10,14,1.491
CTSH,ab2023,mittel,25-40,11,0.472
CTSH,ab2023,mittel,0-10,8,1.095
CTSH,ab2023,weit,25-40,13,2.262
CTSH,ab2023,weit,10-25,9,0.219
CTSH,ab2023,weit,40-100,57,0.949
CTSH,ab2023,weit,unter Einstieg,33,-0.755
CTSH,ab2023,sehr weit,25-40,82,1.225
CTSH,ab2023,sehr weit,40-100,210,2.415
CTSH,ab2023,sehr weit,10-25,42,0.556
CTSH,ab2023,sehr weit,0-10,25,0.271
CTSH,ab2023,mittel,40-100,64,1.094
CTSH,ab2023,mittel,unter Einstieg,106,1.324
CTSH,ab2023,sehr weit,unter Einstieg,41,4.7
CVS,bis2022,weit,10-25,36,0.881
CVS,bis2022,sehr weit,0-10,54,-0.328
CVS,bis2022,sehr weit,10-25,31,-1.423
CVS,bis2022,sehr weit,40-100,116,-1.751
CVS,bis2022,sehr weit,unter Einstieg,61,-1.757
CVS,bis2022,mittel,0-10,20,0.156
CVS,bis2022,weit,0-10,37,-0.008
CVS,bis2022,mittel,25-40,30,0.292
CVS,bis2022,mittel,10-25,56,0.264
CVS,bis2022,sehr weit,25-40,36,-0.604
CVS,bis2022,mittel,40-100,79,1.957
CVS,bis2022,mittel,unter Einstieg,50,2.438
CVS,bis2022,weit,40-100,154,1.469
CVS,bis2022,weit,unter Einstieg,76,1.459
CVS,bis2022,weit,25-40,45,1.854
CVS,ab2023,mittel,0-10,13,1.094
CVS,ab2023,mittel,10-25,11,1.38
CVS,ab2023,weit,40-100,46,0.28
CVS,ab2023,weit,10-25,32,0.751
CVS,ab2023,weit,25-40,26,-0.101
CVS,ab2023,weit,unter Einstieg,41,0.929
CVS,ab2023,sehr weit,25-40,9,-0.931
CVS,ab2023,sehr weit,10-25,33,-1.185
CVS,ab2023,sehr weit,40-100,124,1.509
CVS,ab2023,sehr weit,unter Einstieg,59,2.799
CVS,ab2023,mittel,40-100,33,1.874
CVS,ab2023,mittel,25-40,8,1.668
CVS,ab2023,sehr weit,0-10,72,0.895
CVS,ab2023,mittel,unter Einstieg,25,1.664
CVS,ab2023,weit,0-10,26,0.712
CVX,bis2022,mittel,40-100,115,-0.36
CVX,bis2022,mittel,unter Einstieg,121,1.606
CVX,bis2022,mittel,10-25,46,0.513
CVX,bis2022,mittel,0-10,40,0.045
CVX,bis2022,weit,40-100,66,1.076
CVX,bis2022,weit,0-10,48,0.25
CVX,bis2022,weit,10-25,41,-0.022
CVX,bis2022,weit,25-40,43,0.656
CVX,bis2022,mittel,25-40,26,-0.361
CVX,bis2022,sehr weit,10-25,23,0.346
CVX,bis2022,sehr weit,0-10,20,-0.155
CVX,bis2022,sehr weit,25-40,12,0.853
CVX,bis2022,sehr weit,40-100,44,1.677
CVX,bis2022,sehr weit,unter Einstieg,19,0.202
CVX,bis2022,weit,unter Einstieg,13,2.438
CVX,ab2023,mittel,10-25,35,0.489
CVX,ab2023,weit,25-40,53,0.03
CVX,ab2023,weit,40-100,223,1.259
CVX,ab2023,weit,0-10,59,-0.129
CVX,ab2023,weit,10-25,44,0.17
CVX,ab2023,sehr weit,0-10,35,-0.342
CVX,ab2023,sehr weit,40-100,112,-0.414
CVX,ab2023,sehr weit,unter Einstieg,123,1.127
CVX,ab2023,mittel,40-100,168,1.395
CVX,ab2023,mittel,25-40,51,1.082
CVX,ab2023,weit,unter Einstieg,148,1.1
CVX,ab2023,mittel,unter Einstieg,207,2.486
CVX,ab2023,mittel,0-10,35,1.323
CVX,ab2023,sehr weit,10-25,40,0.447
CVX,ab2023,sehr weit,25-40,32,-0.05
DASH,bis2022,mittel,25-40,39,0.433
DASH,bis2022,mittel,40-100,204,0.97
DASH,bis2022,mittel,unter Einstieg,193,1.731
DASH,bis2022,mittel,10-25,46,-0.521
DASH,bis2022,weit,10-25,24,-0.38
DASH,bis2022,weit,0-10,37,-0.603
DASH,bis2022,mittel,0-10,26,0.186
DASH,bis2022,weit,40-100,132,0.81
DASH,bis2022,weit,unter Einstieg,85,0.553
DASH,bis2022,weit,25-40,20,0.692
DASH,bis2022,sehr weit,10-25,42,0.865
DASH,bis2022,sehr weit,0-10,51,0.054
DASH,bis2022,sehr weit,40-100,136,0.923
DASH,bis2022,sehr weit,unter Einstieg,129,0.225
DASH,bis2022,sehr weit,25-40,40,0.565
DASH,ab2023,mittel,0-10,15,-0.895
DASH,ab2023,weit,10-25,28,0.231
DASH,ab2023,sehr weit,10-25,19,0.521
DASH,ab2023,weit,25-40,31,-0.643
DASH,ab2023,weit,0-10,20,-0.004
DASH,ab2023,sehr weit,0-10,33,-0.23
DASH,ab2023,sehr weit,25-40,20,0.888
DASH,ab2023,weit,40-100,106,-0.136
DASH,ab2023,mittel,10-25,25,-0.777
DASH,ab2023,mittel,25-40,14,-1.984
DASH,ab2023,mittel,40-100,83,-1.36
DASH,ab2023,mittel,unter Einstieg,192,0.419
DASH,ab2023,weit,unter Einstieg,203,1.625
DASH,ab2023,sehr weit,40-100,51,1.909
DASH,ab2023,sehr weit,unter Einstieg,54,3.291
DB1.DE,bis2022,mittel,25-40,41,0.627
DB1.DE,bis2022,mittel,40-100,126,1.028
DB1.DE,bis2022,mittel,0-10,20,0.986
DB1.DE,bis2022,mittel,unter Einstieg,126,2.554
DB1.DE,bis2022,mittel,10-25,32,1.106
DB1.DE,bis2022,weit,0-10,40,0.408
DB1.DE,bis2022,weit,25-40,42,-0.081
DB1.DE,bis2022,weit,40-100,137,1.638
DB1.DE,bis2022,sehr weit,0-10,113,0.451
DB1.DE,bis2022,sehr weit,40-100,159,1.81
DB1.DE,bis2022,sehr weit,25-40,37,1.585
DB1.DE,bis2022,sehr weit,10-25,87,0.933
DB1.DE,bis2022,weit,10-25,55,1.102
DB1.DE,bis2022,weit,unter Einstieg,118,1.755
DB1.DE,bis2022,sehr weit,unter Einstieg,38,-0.119
DB1.DE,ab2023,mittel,40-100,91,-0.77
DB1.DE,ab2023,mittel,25-40,29,1.13
DB1.DE,ab2023,mittel,0-10,16,0.047
DB1.DE,ab2023,weit,10-25,25,0.317
DB1.DE,ab2023,weit,40-100,124,0.05
DB1.DE,ab2023,weit,0-10,29,1.004
DB1.DE,ab2023,sehr weit,0-10,119,0.891
DB1.DE,ab2023,sehr weit,25-40,27,0.744
DB1.DE,ab2023,sehr weit,40-100,150,1.034
DB1.DE,ab2023,sehr weit,10-25,48,1.779
DB1.DE,ab2023,mittel,10-25,30,-0.34
DB1.DE,ab2023,mittel,unter Einstieg,78,-0.83
DB1.DE,ab2023,weit,unter Einstieg,138,0.047
DB1.DE,ab2023,sehr weit,unter Einstieg,77,1.718
DB1.DE,ab2023,weit,25-40,21,1.101
DBK.DE,bis2022,mittel,40-100,144,0.195
DBK.DE,bis2022,mittel,0-10,35,1.115
DBK.DE,bis2022,weit,10-25,38,0.626
DBK.DE,bis2022,weit,0-10,39,0.794
DBK.DE,bis2022,mittel,unter Einstieg,85,0.39
DBK.DE,bis2022,mittel,10-25,45,0.661
DBK.DE,bis2022,weit,40-100,109,1.437
DBK.DE,bis2022,weit,25-40,37,0.638
DBK.DE,bis2022,sehr weit,0-10,43,-0.524
DBK.DE,bis2022,sehr weit,10-25,36,-0.611
DBK.DE,bis2022,sehr weit,25-40,30,-0.199
DBK.DE,bis2022,sehr weit,40-100,55,1.452
DBK.DE,bis2022,weit,unter Einstieg,19,0.052
DBK.DE,bis2022,mittel,25-40,39,0.635
DBK.DE,bis2022,sehr weit,unter Einstieg,2,-2.012
DBK.DE,ab2023,mittel,0-10,35,0.435
DBK.DE,ab2023,mittel,25-40,27,0.24
DBK.DE,ab2023,mittel,40-100,131,0.415
DBK.DE,ab2023,mittel,unter Einstieg,61,1.555
DBK.DE,ab2023,mittel,10-25,28,0.213
DBK.DE,ab2023,weit,25-40,23,0.982
DBK.DE,ab2023,weit,40-100,73,1.401
DBK.DE,ab2023,weit,unter Einstieg,31,2.919
DBK.DE,ab2023,weit,10-25,29,1.028
DBK.DE,ab2023,weit,0-10,34,0.39
DBK.DE,ab2023,sehr weit,0-10,32,-0.002
DBK.DE,ab2023,sehr weit,10-25,42,0.707
DBK.DE,ab2023,sehr weit,40-100,113,2.811
DBK.DE,ab2023,sehr weit,unter Einstieg,33,4.852
DBK.DE,ab2023,sehr weit,25-40,14,1.473
DDOG,bis2022,mittel,0-10,38,-0.411
DDOG,bis2022,mittel,40-100,165,-0.13
DDOG,bis2022,mittel,25-40,36,-1.056
DDOG,bis2022,mittel,10-25,57,-0.828
DDOG,bis2022,weit,0-10,23,0.223
DDOG,bis2022,weit,10-25,46,0.282
DDOG,bis2022,weit,25-40,63,-0.144
DDOG,bis2022,sehr weit,40-100,103,-0.455
DDOG,bis2022,sehr weit,25-40,17,-0.638
DDOG,bis2022,sehr weit,10-25,16,-0.824
DDOG,bis2022,mittel,unter Einstieg,295,0.433
DDOG,bis2022,weit,40-100,155,1.251
DDOG,bis2022,weit,unter Einstieg,173,2.765
DDOG,bis2022,sehr weit,0-10,8,-0.073
DDOG,bis2022,sehr weit,unter Einstieg,81,1.72
DDOG,ab2023,mittel,40-100,221,0.3
DDOG,ab2023,mittel,25-40,51,0.11
DDOG,ab2023,mittel,0-10,44,1.139
DDOG,ab2023,mittel,10-25,64,0.006
DDOG,ab2023,weit,0-10,40,-0.758
DDOG,ab2023,sehr weit,40-100,141,-0.008
DDOG,ab2023,sehr weit,25-40,30,0.71
DDOG,ab2023,sehr weit,0-10,91,0.901
DDOG,ab2023,weit,40-100,262,-1.498
DDOG,ab2023,weit,25-40,37,0.211
DDOG,ab2023,sehr weit,10-25,54,1.793
DDOG,ab2023,mittel,unter Einstieg,259,1.505
DDOG,ab2023,weit,10-25,44,-0.649
DDOG,ab2023,sehr weit,unter Einstieg,89,5.138
DDOG,ab2023,weit,unter Einstieg,126,-0.404
DE,bis2022,mittel,0-10,15,0.388
DE,bis2022,weit,25-40,24,1.036
DE,bis2022,weit,0-10,19,0.566
DE,bis2022,weit,unter Einstieg,8,1.693
DE,bis2022,mittel,10-25,7,1.599
DE,bis2022,weit,10-25,18,1.089
DE,bis2022,sehr weit,0-10,20,0.389
DE,bis2022,sehr weit,10-25,36,0.989
DE,bis2022,mittel,25-40,11,1.964
DE,bis2022,sehr weit,25-40,51,1.354
DE,bis2022,sehr weit,40-100,173,2.599
DE,bis2022,sehr weit,unter Einstieg,18,2.485
DE,bis2022,weit,40-100,34,1.953
DE,bis2022,mittel,40-100,20,1.034
DE,bis2022,mittel,unter Einstieg,14,4.381
DE,ab2023,mittel,0-10,14,-1.348
DE,ab2023,weit,40-100,71,-2.148
DE,ab2023,weit,25-40,17,-0.034
DE,ab2023,weit,0-10,16,-0.319
DE,ab2023,mittel,10-25,32,-0.348
DE,ab2023,mittel,unter Einstieg,81,-0.917
DE,ab2023,mittel,40-100,65,-0.918
DE,ab2023,weit,10-25,24,-1.425
DE,ab2023,weit,unter Einstieg,144,-1.731
DE,ab2023,sehr weit,10-25,28,-0.062
DE,ab2023,sehr weit,25-40,42,-1.238
DE,ab2023,sehr weit,40-100,119,-2.184
DE,ab2023,sehr weit,unter Einstieg,68,-0.812
DE,ab2023,mittel,25-40,20,0.244
DE,ab2023,sehr weit,0-10,28,-0.752
DELL,bis2022,mittel,0-10,40,-0.191
DELL,bis2022,mittel,25-40,44,-0.26
DELL,bis2022,mittel,10-25,61,0.175
DELL,bis2022,weit,10-25,29,-1.532
DELL,bis2022,weit,25-40,22,-1.014
DELL,bis2022,sehr weit,0-10,15,-0.895
DELL,bis2022,weit,0-10,37,-0.905
DELL,bis2022,mittel,40-100,88,-0.875
DELL,bis2022,weit,40-100,29,-2.398
DELL,bis2022,weit,unter Einstieg,26,0.452
DELL,bis2022,sehr weit,10-25,24,-0.353
DELL,bis2022,sehr weit,40-100,9,1.289
DELL,bis2022,sehr weit,unter Einstieg,9,3.111
DELL,bis2022,mittel,unter Einstieg,105,-1.312
DELL,bis2022,sehr weit,25-40,15,1.064
DELL,bis2022,frueh,10-25,2,1.151
DELL,ab2023,sehr weit,10-25,7,0.684
DELL,ab2023,mittel,40-100,61,1.341
DELL,ab2023,mittel,10-25,44,0.816
DELL,ab2023,mittel,0-10,24,0.371
DELL,ab2023,mittel,25-40,36,1.41
DELL,ab2023,weit,0-10,16,-0.009
DELL,ab2023,weit,10-25,17,0.821
DELL,ab2023,frueh,40-100,1,-2.621
DELL,ab2023,frueh,unter Einstieg,2,-1.079
DELL,ab2023,mittel,unter Einstieg,111,0.663
DELL,ab2023,sehr weit,0-10,23,-0.861
DELL,ab2023,weit,40-100,55,3.907
DELL,ab2023,weit,unter Einstieg,83,2.736
DELL,ab2023,weit,25-40,14,2.788
DELL,ab2023,sehr weit,25-40,5,1.014
DELL,ab2023,frueh,0-10,2,-3.578
DHL.DE,bis2022,mittel,0-10,29,-1.359
DHL.DE,bis2022,weit,40-100,134,-2.401
DHL.DE,bis2022,weit,25-40,29,-0.202
DHL.DE,bis2022,weit,unter Einstieg,131,-2.067
DHL.DE,bis2022,frueh,40-100,10,-3.012
DHL.DE,bis2022,frueh,unter Einstieg,16,-1.993
DHL.DE,bis2022,frueh,10-25,2,-3.781
DHL.DE,bis2022,mittel,10-25,35,-1.239
DHL.DE,bis2022,mittel,25-40,28,0.814
DHL.DE,bis2022,mittel,40-100,97,-0.84
DHL.DE,bis2022,mittel,unter Einstieg,105,-1.585
DHL.DE,bis2022,weit,0-10,20,-0.264
DHL.DE,bis2022,weit,10-25,32,-1.194
DHL.DE,bis2022,sehr weit,0-10,13,-0.067
DHL.DE,bis2022,sehr weit,40-100,150,-2.042
DHL.DE,bis2022,sehr weit,25-40,29,-3.767
DHL.DE,bis2022,sehr weit,10-25,20,-4.499
DHL.DE,bis2022,frueh,0-10,1,-3.913
DHL.DE,bis2022,frueh,25-40,4,-1.978
DHL.DE,bis2022,sehr weit,unter Einstieg,56,-2.107
DHL.DE,ab2023,mittel,10-25,62,1.206
DHL.DE,ab2023,mittel,40-100,159,1.98
DHL.DE,ab2023,mittel,25-40,56,1.39
DHL.DE,ab2023,weit,40-100,177,1.934
DHL.DE,ab2023,weit,unter Einstieg,107,3.435
DHL.DE,ab2023,weit,25-40,45,1.18
DHL.DE,ab2023,weit,10-25,66,0.471
DHL.DE,ab2023,weit,0-10,62,0.17
DHL.DE,ab2023,sehr weit,0-10,38,-0.059
DHL.DE,ab2023,mittel,0-10,37,0.314
DHL.DE,ab2023,mittel,unter Einstieg,280,2.839
DHL.DE,ab2023,frueh,0-10,3,-0.035
DHL.DE,ab2023,frueh,40-100,42,0.15
DHL.DE,ab2023,sehr weit,25-40,4,2.356
DHL.DE,ab2023,sehr weit,10-25,7,1.355
DHL.DE,ab2023,frueh,25-40,7,0.548
DHL.DE,ab2023,frueh,10-25,6,1.251
DHL.DE,ab2023,frueh,unter Einstieg,159,0.386
DHL.DE,ab2023,sehr weit,40-100,2,1.977
DHR,bis2022,mittel,25-40,39,1.47
DHR,bis2022,mittel,40-100,69,1.948
DHR,bis2022,sehr weit,0-10,71,-0.232
DHR,bis2022,sehr weit,25-40,25,0.777
DHR,bis2022,sehr weit,40-100,111,0.24
DHR,bis2022,mittel,0-10,51,0.707
DHR,bis2022,weit,10-25,37,0.672
DHR,bis2022,mittel,10-25,32,0.449
DHR,bis2022,weit,40-100,102,1.809
DHR,bis2022,weit,0-10,68,-0.098
DHR,bis2022,mittel,unter Einstieg,63,2.375
DHR,bis2022,weit,25-40,41,0.607
DHR,bis2022,sehr weit,10-25,35,-0.699
DHR,bis2022,weit,unter Einstieg,111,2.255
DHR,bis2022,sehr weit,unter Einstieg,70,0.362
DHR,ab2023,mittel,40-100,180,0.184
DHR,ab2023,weit,0-10,49,-0.262
DHR,ab2023,sehr weit,0-10,54,-0.573
DHR,ab2023,mittel,0-10,20,-0.551
DHR,ab2023,mittel,25-40,59,-0.512
DHR,ab2023,mittel,unter Einstieg,210,0.853
DHR,ab2023,weit,40-100,131,-0.688
DHR,ab2023,weit,unter Einstieg,62,1.404
DHR,ab2023,weit,25-40,49,-0.994
DHR,ab2023,weit,10-25,51,-1.11
DHR,ab2023,sehr weit,25-40,31,1.125
DHR,ab2023,sehr weit,40-100,70,1.931
DHR,ab2023,sehr weit,unter Einstieg,14,4.131
DHR,ab2023,mittel,10-25,50,0.705
DHR,ab2023,sehr weit,10-25,27,-0.349
DIS,bis2022,weit,0-10,15,0.076
DIS,bis2022,weit,40-100,185,0.08
DIS,bis2022,weit,unter Einstieg,129,-0.587
DIS,bis2022,mittel,10-25,33,-0.162
DIS,bis2022,mittel,40-100,105,-0.495
DIS,bis2022,mittel,25-40,41,0.378
DIS,bis2022,mittel,unter Einstieg,199,-0.363
DIS,bis2022,weit,25-40,39,-0.875
DIS,bis2022,weit,10-25,38,-0.397
DIS,bis2022,mittel,0-10,28,-0.147
DIS,bis2022,sehr weit,10-25,23,-1.632
DIS,bis2022,sehr weit,0-10,29,-0.412
DIS,bis2022,sehr weit,25-40,19,-2.958
DIS,bis2022,sehr weit,40-100,74,-2.078
DIS,bis2022,sehr weit,unter Einstieg,48,-0.933
DIS,ab2023,mittel,0-10,22,-1.104
DIS,ab2023,mittel,40-100,92,-3.26
DIS,ab2023,mittel,unter Einstieg,264,-1.958
DIS,ab2023,mittel,10-25,36,-1.689
DIS,ab2023,weit,10-25,32,-2.265
DIS,ab2023,weit,0-10,20,-0.949
DIS,ab2023,mittel,25-40,21,-2.959
DIS,ab2023,weit,40-100,56,-1.932
DIS,ab2023,weit,unter Einstieg,104,-1.531
DIS,ab2023,sehr weit,10-25,29,-0.297
DIS,ab2023,sehr weit,40-100,54,-1.671
DIS,ab2023,sehr weit,unter Einstieg,95,-1.793
DIS,ab2023,weit,25-40,34,-1.631
DIS,ab2023,sehr weit,0-10,15,0.107
DIS,ab2023,sehr weit,25-40,17,-0.897
DTE.DE,bis2022,mittel,40-100,198,1.036
DTE.DE,bis2022,mittel,unter Einstieg,116,0.222
DTE.DE,bis2022,mittel,25-40,69,0.881
DTE.DE,bis2022,mittel,10-25,34,2.16
DTE.DE,bis2022,frueh,10-25,2,2.933
DTE.DE,bis2022,frueh,40-100,10,3.005
DTE.DE,bis2022,frueh,unter Einstieg,7,4.965
DTE.DE,bis2022,frueh,25-40,2,4.016
DTE.DE,bis2022,mittel,0-10,38,1.034
DTE.DE,bis2022,weit,25-40,55,2.345
DTE.DE,bis2022,weit,40-100,116,4.156
DTE.DE,bis2022,weit,unter Einstieg,27,3.75
DTE.DE,bis2022,weit,10-25,24,1.941
DTE.DE,bis2022,weit,0-10,31,1.414
DTE.DE,bis2022,sehr weit,0-10,46,0.179
DTE.DE,bis2022,frueh,0-10,2,-1.276
DTE.DE,bis2022,sehr weit,10-25,13,0.226
DTE.DE,bis2022,sehr weit,40-100,1,0.473
DTE.DE,ab2023,frueh,10-25,3,-0.276
DTE.DE,ab2023,mittel,10-25,51,-0.892
DTE.DE,ab2023,weit,10-25,26,-0.096
DTE.DE,ab2023,weit,40-100,38,-0.895
DTE.DE,ab2023,weit,25-40,26,0.461
DTE.DE,ab2023,weit,unter Einstieg,14,-1.491
DTE.DE,ab2023,mittel,25-40,36,-2.126
DTE.DE,ab2023,mittel,40-100,164,-2.267
DTE.DE,ab2023,mittel,unter Einstieg,145,-1.719
DTE.DE,ab2023,mittel,0-10,36,0.052
DTE.DE,ab2023,weit,0-10,21,-0.004
DTE.DE,ab2023,sehr weit,0-10,21,-0.689
DTE.DE,ab2023,sehr weit,10-25,17,-2.256
DTE.DE,ab2023,sehr weit,25-40,25,-3.021
DTE.DE,ab2023,sehr weit,40-100,36,-3.22
DTE.DE,ab2023,frueh,25-40,3,-0.527
DTE.DE,ab2023,frueh,40-100,5,2.252
DTE.DE,ab2023,sehr weit,unter Einstieg,20,-1.412
DTE.DE,ab2023,frueh,0-10,2,-1.373
DTG.DE,bis2022,mittel,0-10,9,-1.014
DTG.DE,bis2022,mittel,40-100,83,0.56
DTG.DE,bis2022,mittel,25-40,35,1.21
DTG.DE,bis2022,mittel,10-25,23,0.9
DTG.DE,bis2022,weit,10-25,36,0.826
DTG.DE,bis2022,weit,25-40,26,0.73
DTG.DE,bis2022,weit,40-100,58,0.984
DTG.DE,bis2022,weit,unter Einstieg,30,1.663
DTG.DE,bis2022,weit,0-10,16,0.253
DTG.DE,bis2022,mittel,unter Einstieg,87,-0.06
DTG.DE,bis2022,sehr weit,0-10,8,0.205
DTG.DE,bis2022,sehr weit,10-25,11,0.416
DTG.DE,bis2022,sehr weit,25-40,3,1.623
DTG.DE,bis2022,sehr weit,40-100,18,3.093
DTG.DE,ab2023,mittel,25-40,31,1.302
DTG.DE,ab2023,mittel,40-100,90,1.116
DTG.DE,ab2023,mittel,10-25,40,-0.299
DTG.DE,ab2023,weit,10-25,30,0.062
DTG.DE,ab2023,weit,40-100,50,1.682
DTG.DE,ab2023,weit,25-40,24,0.922
DTG.DE,ab2023,weit,unter Einstieg,11,3.515
DTG.DE,ab2023,sehr weit,0-10,36,-0.044
DTG.DE,ab2023,weit,0-10,31,-0.646
DTG.DE,ab2023,sehr weit,10-25,23,-0.42
DTG.DE,ab2023,mittel,unter Einstieg,118,0.776
DTG.DE,ab2023,mittel,0-10,29,0.243
DTG.DE,ab2023,sehr weit,25-40,16,1.132
DTG.DE,ab2023,sehr weit,40-100,40,1.735
DTG.DE,ab2023,sehr weit,unter Einstieg,12,-1.382
DUK,bis2022,mittel,10-25,31,-0.493
DUK,bis2022,mittel,40-100,76,0.019
DUK,bis2022,mittel,25-40,13,-1.291
DUK,bis2022,mittel,0-10,16,-0.535
DUK,bis2022,weit,0-10,56,-0.389
DUK,bis2022,weit,10-25,74,-0.209
DUK,bis2022,weit,25-40,64,0.385
DUK,bis2022,weit,40-100,361,0.734
DUK,bis2022,sehr weit,10-25,64,-0.205
DUK,bis2022,weit,unter Einstieg,184,1.368
DUK,bis2022,sehr weit,0-10,82,-0.117
DUK,bis2022,mittel,unter Einstieg,86,-0.763
DUK,bis2022,sehr weit,40-100,115,1.941
DUK,bis2022,sehr weit,unter Einstieg,64,1.789
DUK,bis2022,sehr weit,25-40,60,-0.27
DUK,ab2023,mittel,40-100,93,1.588
DUK,ab2023,mittel,unter Einstieg,82,0.174
DUK,ab2023,mittel,25-40,41,1.346
DUK,ab2023,weit,40-100,120,1.75
DUK,ab2023,weit,unter Einstieg,23,1.174
DUK,ab2023,mittel,10-25,26,1.552
DUK,ab2023,mittel,0-10,29,1.341
DUK,ab2023,weit,10-25,48,1.037
DUK,ab2023,sehr weit,25-40,43,1.157
DUK,ab2023,sehr weit,40-100,94,2.005
DUK,ab2023,sehr weit,unter Einstieg,3,3.626
DUK,ab2023,sehr weit,0-10,102,0.197
DUK,ab2023,weit,25-40,34,1.065
DUK,ab2023,weit,0-10,50,0.789
DUK,ab2023,sehr weit,10-25,72,0.696
DXCM,bis2022,mittel,25-40,43,-0.041
DXCM,bis2022,mittel,0-10,36,-0.672
DXCM,bis2022,mittel,40-100,128,0.477
DXCM,bis2022,mittel,10-25,42,0.33
DXCM,bis2022,mittel,unter Einstieg,186,1.471
DXCM,bis2022,weit,0-10,43,0.236
DXCM,bis2022,weit,25-40,33,0.125
DXCM,bis2022,sehr weit,0-10,39,1.245
DXCM,bis2022,sehr weit,10-25,10,0.835
DXCM,bis2022,weit,10-25,47,0.103
DXCM,bis2022,weit,unter Einstieg,87,1.355
DXCM,bis2022,weit,40-100,100,0.404
DXCM,bis2022,sehr weit,40-100,103,2.43
DXCM,bis2022,sehr weit,25-40,20,2.79
DXCM,bis2022,sehr weit,unter Einstieg,30,5.284
DXCM,ab2023,mittel,10-25,41,-0.039
DXCM,ab2023,mittel,25-40,43,-0.253
DXCM,ab2023,mittel,40-100,133,0.798
DXCM,ab2023,sehr weit,10-25,61,0.631
DXCM,ab2023,mittel,unter Einstieg,221,1.526
DXCM,ab2023,weit,0-10,21,0.517
DXCM,ab2023,sehr weit,0-10,44,-0.092
DXCM,ab2023,sehr weit,40-100,187,1.595
DXCM,ab2023,sehr weit,unter Einstieg,14,2.228
DXCM,ab2023,sehr weit,25-40,43,0.91
DXCM,ab2023,mittel,0-10,25,0.332
DXCM,ab2023,weit,40-100,74,-0.201
DXCM,ab2023,weit,25-40,32,0.617
DXCM,ab2023,weit,10-25,34,-0.872
DXCM,ab2023,weit,unter Einstieg,53,0.61
EMR,bis2022,weit,0-10,27,-0.123
EMR,bis2022,weit,40-100,72,0.475
EMR,bis2022,weit,unter Einstieg,39,-0.356
EMR,bis2022,mittel,0-10,12,-0.245
EMR,bis2022,weit,25-40,17,-0.815
EMR,bis2022,mittel,40-100,41,1.069
EMR,bis2022,mittel,unter Einstieg,20,2.295
EMR,bis2022,mittel,25-40,18,-0.44
EMR,bis2022,weit,10-25,29,-0.046
EMR,bis2022,mittel,10-25,19,0.672
EMR,bis2022,sehr weit,0-10,35,-0.036
EMR,bis2022,sehr weit,10-25,24,0.162
EMR,bis2022,sehr weit,40-100,71,-1.177
EMR,bis2022,sehr weit,unter Einstieg,70,0.18
EMR,bis2022,sehr weit,25-40,16,-0.416
EMR,ab2023,mittel,10-25,34,1.104
EMR,ab2023,mittel,25-40,34,0.657
EMR,ab2023,mittel,40-100,97,1.543
EMR,ab2023,mittel,unter Einstieg,124,1.537
EMR,ab2023,weit,0-10,25,0.493
EMR,ab2023,sehr weit,10-25,66,0.183
EMR,ab2023,sehr weit,40-100,150,-0.149
EMR,ab2023,sehr weit,unter Einstieg,110,0.503
EMR,ab2023,sehr weit,25-40,28,-0.643
EMR,ab2023,sehr weit,0-10,72,-0.262
EMR,ab2023,mittel,0-10,21,0.257
EMR,ab2023,weit,10-25,51,0.334
EMR,ab2023,weit,40-100,68,0.721
EMR,ab2023,weit,25-40,22,0.862
EMR,ab2023,weit,unter Einstieg,112,1.512
ENB,bis2022,mittel,40-100,78,0.896
ENB,bis2022,mittel,unter Einstieg,121,1.223
ENB,bis2022,mittel,0-10,35,0.206
ENB,bis2022,mittel,10-25,44,0.752
ENB,bis2022,mittel,25-40,24,1.36
ENB,bis2022,weit,0-10,25,0.244
ENB,bis2022,weit,40-100,49,1.065
ENB,bis2022,sehr weit,10-25,5,-0.051
ENB,bis2022,sehr weit,0-10,15,0.069
ENB,bis2022,sehr weit,40-100,5,1.583
ENB,bis2022,weit,10-25,32,0.705
ENB,bis2022,weit,25-40,18,1.72
ENB,bis2022,weit,unter Einstieg,15,1.858
ENB,bis2022,sehr weit,25-40,3,2.75
ENB,bis2022,frueh,25-40,1,-2.928
ENB,bis2022,frueh,40-100,1,-2.569
ENB,bis2022,frueh,unter Einstieg,6,-1.112
ENB,ab2023,mittel,25-40,30,0.279
ENB,ab2023,mittel,40-100,92,1.183
ENB,ab2023,weit,0-10,39,0.048
ENB,ab2023,mittel,0-10,36,0.788
ENB,ab2023,mittel,10-25,62,-0.378
ENB,ab2023,mittel,unter Einstieg,145,0.873
ENB,ab2023,weit,10-25,25,-0.363
ENB,ab2023,weit,40-100,65,-0.475
ENB,ab2023,sehr weit,10-25,26,-0.292
ENB,ab2023,weit,25-40,14,0.072
ENB,ab2023,weit,unter Einstieg,45,0.712
ENB,ab2023,sehr weit,0-10,32,-0.597
ENB,ab2023,frueh,25-40,1,0.949
ENB,ab2023,sehr weit,25-40,13,-1.521
ENB,ab2023,frueh,unter Einstieg,11,-1.943
ENB,ab2023,sehr weit,40-100,57,-0.938
ENB,ab2023,sehr weit,unter Einstieg,16,3.448
ENB,ab2023,frueh,10-25,1,1.743
ENR.DE,bis2022,mittel,10-25,43,-0.789
ENR.DE,bis2022,weit,0-10,32,-0.68
ENR.DE,bis2022,weit,40-100,64,-1.471
