ticker,zeitraum,band,klasse,n,ew_atr
ABT,ab2023,weit,25-40,34,0.72
ABT,ab2023,sehr weit,0-10,62,0.352
ABT,ab2023,mittel,25-40,39,0.874
ABT,ab2023,weit,0-10,39,0.651
ABT,ab2023,sehr weit,10-25,29,-0.353
ABT,ab2023,weit,unter Einstieg,49,0.517
ABT,ab2023,sehr weit,40-100,137,0.329
ABT,ab2023,sehr weit,unter Einstieg,75,0.533
ABT,ab2023,sehr weit,25-40,65,0.92
ACN,bis2022,mittel,25-40,32,1.626
ACN,bis2022,mittel,10-25,36,0.841
ACN,bis2022,weit,0-10,38,0.473
ACN,bis2022,weit,40-100,96,0.342
ACN,bis2022,weit,25-40,39,1.34
ACN,bis2022,sehr weit,25-40,68,-0.182
ACN,bis2022,sehr weit,10-25,121,-0.808
ACN,bis2022,sehr weit,40-100,213,-0.01
ACN,bis2022,sehr weit,0-10,100,-0.782
ACN,bis2022,weit,unter Einstieg,93,0.619
ACN,bis2022,sehr weit,unter Einstieg,92,-0.362
ACN,bis2022,mittel,unter Einstieg,83,0.067
ACN,bis2022,mittel,40-100,42,0.521
ACN,bis2022,mittel,0-10,24,-0.109
ACN,bis2022,weit,10-25,49,0.749
ACN,ab2023,mittel,40-100,46,0.225
ACN,ab2023,mittel,25-40,26,0.292
ACN,ab2023,mittel,0-10,20,-0.08
ACN,ab2023,weit,10-25,26,0.387
ACN,ab2023,weit,25-40,22,2.454
ACN,ab2023,weit,40-100,84,2.393
ACN,ab2023,sehr weit,0-10,47,-0.036
ACN,ab2023,sehr weit,10-25,37,0.659
ACN,ab2023,sehr weit,25-40,43,0.945
ACN,ab2023,sehr weit,40-100,198,2.3
ACN,ab2023,sehr weit,unter Einstieg,62,2.579
ACN,ab2023,mittel,unter Einstieg,121,-0.635
ACN,ab2023,mittel,10-25,19,1.081
ACN,ab2023,weit,unter Einstieg,33,2.885
ACN,ab2023,weit,0-10,15,0.955
ADBE,bis2022,mittel,25-40,52,-0.198
ADBE,bis2022,mittel,0-10,32,-0.909
ADBE,bis2022,mittel,40-100,100,-0.843
ADBE,bis2022,weit,10-25,58,-1.024
ADBE,bis2022,mittel,10-25,44,-0.68
ADBE,bis2022,sehr weit,10-25,10,-1.597
ADBE,bis2022,weit,0-10,44,-1.465
ADBE,bis2022,weit,25-40,27,-2.136
ADBE,bis2022,weit,40-100,58,-1.207
ADBE,bis2022,weit,unter Einstieg,32,-1.39
ADBE,bis2022,sehr weit,40-100,14,-2.715
ADBE,bis2022,sehr weit,unter Einstieg,26,-1.698
ADBE,bis2022,mittel,unter Einstieg,158,-1.317
ADBE,bis2022,sehr weit,0-10,16,-0.229
ADBE,bis2022,sehr weit,25-40,4,-4.107
ADBE,ab2023,mittel,0-10,20,-1.034
ADBE,ab2023,weit,25-40,20,1.633
ADBE,ab2023,weit,40-100,85,-1.267
ADBE,ab2023,weit,unter Einstieg,56,-0.967
ADBE,ab2023,weit,10-25,34,-0.637
ADBE,ab2023,sehr weit,0-10,48,-0.825
ADBE,ab2023,mittel,10-25,34,-0.851
ADBE,ab2023,weit,0-10,35,-0.791
ADBE,ab2023,sehr weit,40-100,106,-2.754
ADBE,ab2023,sehr weit,10-25,34,-3.897
ADBE,ab2023,mittel,40-100,75,-1.779
ADBE,ab2023,mittel,unter Einstieg,177,-0.927
ADBE,ab2023,sehr weit,25-40,35,-2.316
ADBE,ab2023,sehr weit,unter Einstieg,97,-1.628
ADBE,ab2023,mittel,25-40,25,-2.344
ADI,bis2022,mittel,0-10,43,0.197
ADI,bis2022,mittel,unter Einstieg,219,-1.317
ADI,bis2022,mittel,40-100,179,-0.364
ADI,bis2022,weit,0-10,43,0.357
ADI,bis2022,weit,25-40,28,0.227
ADI,bis2022,weit,10-25,32,0.052
ADI,bis2022,mittel,25-40,41,0.487
ADI,bis2022,mittel,10-25,53,-0.238
ADI,bis2022,weit,40-100,111,-0.463
ADI,bis2022,weit,unter Einstieg,130,1.891
ADI,bis2022,sehr weit,0-10,55,-0.158
ADI,bis2022,sehr weit,25-40,17,1.019
ADI,bis2022,sehr weit,10-25,27,0.762
ADI,bis2022,sehr weit,40-100,38,3.16
ADI,bis2022,sehr weit,unter Einstieg,21,4.105
ADI,ab2023,mittel,0-10,31,1.911
ADI,ab2023,mittel,10-25,47,1.253
ADI,ab2023,weit,0-10,24,0.796
ADI,ab2023,weit,25-40,19,1.032
ADI,ab2023,weit,10-25,32,1.736
ADI,ab2023,weit,40-100,86,1.718
ADI,ab2023,mittel,40-100,49,2.201
ADI,ab2023,sehr weit,0-10,79,0.603
ADI,ab2023,weit,unter Einstieg,116,1.72
ADI,ab2023,mittel,25-40,21,1.218
ADI,ab2023,mittel,unter Einstieg,103,-0.117
ADI,ab2023,sehr weit,10-25,28,2.056
ADI,ab2023,sehr weit,25-40,15,1.773
ADI,ab2023,sehr weit,40-100,91,3.407
ADI,ab2023,sehr weit,unter Einstieg,43,5.264
ADP,bis2022,weit,40-100,104,1.767
ADP,bis2022,weit,25-40,32,1.424
ADP,bis2022,sehr weit,0-10,90,0.536
ADP,bis2022,sehr weit,25-40,43,1.98
ADP,bis2022,sehr weit,10-25,59,1.282
ADP,bis2022,sehr weit,40-100,109,2.271
ADP,bis2022,weit,10-25,33,1.319
