datum,vix,vdax,fg,vdax_quelle
2011-07-06,,,52.00,gemessen:^GDAXI
2011-07-07,,,48.00,gemessen:^GDAXI
2011-07-08,,,43.00,gemessen:^GDAXI
2011-07-11,,,35.00,gemessen:^GDAXI
2011-07-12,,,31.00,gemessen:^GDAXI
2011-07-13,,,31.00,gemessen:^GDAXI
2011-07-14,,,31.00,gemessen:^GDAXI
2011-07-15,,,32.00,gemessen:^GDAXI
2011-07-18,,,44.00,gemessen:^GDAXI
2011-07-19,,,44.00,gemessen:^GDAXI
2011-07-20,,,47.00,gemessen:^GDAXI
2011-07-21,,,48.00,gemessen:^GDAXI
2011-07-22,,,51.00,gemessen:^GDAXI
2011-07-25,,,38.00,gemessen:^GDAXI
2011-07-26,,,35.00,gemessen:^GDAXI
2011-07-27,,,27.00,gemessen:^GDAXI
2011-07-28,,,27.00,gemessen:^GDAXI
2011-07-29,,,16.00,gemessen:^GDAXI
2011-08-01,,,10.00,gemessen:^GDAXI
2011-08-02,,,8.00,gemessen:^GDAXI
2011-08-03,,,2.00,gemessen:^GDAXI
2011-08-04,,,5.00,gemessen:^GDAXI
2011-08-05,,,5.00,gemessen:^GDAXI
2011-08-08,,,1.00,gemessen:^GDAXI
2011-08-09,,,2.00,gemessen:^GDAXI
2011-08-10,,,2.00,gemessen:^GDAXI
2011-08-11,,,3.00,gemessen:^GDAXI
2011-08-12,,,6.00,gemessen:^GDAXI
2011-08-15,,,7.00,gemessen:^GDAXI
2011-08-16,,,11.00,gemessen:^GDAXI
2011-08-17,,,7.00,gemessen:^GDAXI
2011-08-18,,,7.00,gemessen:^GDAXI
2011-08-19,,,6.00,gemessen:^GDAXI
2011-08-22,,,7.00,gemessen:^GDAXI
2011-08-23,,,9.00,gemessen:^GDAXI
2011-08-24,,,8.00,gemessen:^GDAXI
2011-08-25,,,11.00,gemessen:^GDAXI
2011-08-26,,,12.00,gemessen:^GDAXI
2011-08-29,,,22.00,gemessen:^GDAXI
2011-08-30,,,22.00,gemessen:^GDAXI
2011-08-31,,,28.00,gemessen:^GDAXI
2011-09-01,,,26.00,gemessen:^GDAXI
2011-09-02,,,26.00,gemessen:^GDAXI
2011-09-06,,,27.00,gemessen:^GDAXI
2011-09-07,,,28.00,gemessen:^GDAXI
2011-09-08,,,25.00,gemessen:^GDAXI
2011-09-09,,,25.00,gemessen:^GDAXI
2011-09-12,,,31.00,gemessen:^GDAXI
2011-09-13,,,31.00,gemessen:^GDAXI
2011-09-14,,,31.00,gemessen:^GDAXI
2011-09-15,,,33.00,gemessen:^GDAXI
