ticker,bank,datum,einstufung,kursziel,quelle
META,Jefferies & Company Inc.,2026-08-03,Buy,710.00,finanzen.net
META,DZ BANK,2026-07-30,Kaufen,,finanzen.net
META,UBS AG,2026-07-30,Buy,715.00,finanzen.net
META,RBC Capital Markets,2026-07-30,Outperform,770.00,finanzen.net
META,JP Morgan Chase & Co.,2026-07-30,Neutral,640.00,finanzen.net
META,Barclays Capital,2026-04-30,Overweight,830.00,finanzen.net
META,Goldman Sachs Group Inc.,2026-04-30,Buy,830.00,finanzen.net
META,Bernstein Research,2026-02-24,Outperform,900.00,finanzen.net
