ticker,wochentag,faelle,schluss_ueber_eroeffnung_pct,erst_runter_pct,mittlere_tagesrendite_pct
ASML,Montag,354,54.5,51.7,0.18
ASML,Dienstag,364,47.3,47.0,-0.236
ASML,Mittwoch,361,54.8,55.1,0.073
ASML,Donnerstag,361,51.8,46.3,0.052
ASML,Freitag,354,51.7,50.8,-0.018
AVGO,Montag,329,58.4,53.2,0.249
AVGO,Dienstag,364,47.0,42.0,-0.088
AVGO,Mittwoch,360,46.9,47.8,0.027
AVGO,Donnerstag,354,48.3,48.0,-0.082
AVGO,Freitag,352,50.3,48.0,0.012
AXON,Montag,329,52.9,52.3,0.153
AXON,Dienstag,364,52.2,49.2,-0.062
AXON,Mittwoch,360,48.9,48.9,-0.061
AXON,Donnerstag,354,51.1,51.7,-0.028
AXON,Freitag,352,47.7,46.0,0.05
AXP,Montag,329,54.1,51.4,0.025
AXP,Dienstag,364,48.6,48.1,-0.099
AXP,Mittwoch,360,49.7,53.6,-0.009
AXP,Donnerstag,354,55.1,52.5,0.076
AXP,Freitag,352,51.7,50.6,0.083
AZN,Montag,329,48.0,52.0,-0.004
AZN,Dienstag,364,49.5,48.6,-0.013
AZN,Mittwoch,360,49.2,49.2,-0.008
AZN,Donnerstag,354,51.1,50.3,0.027
AZN,Freitag,352,46.6,48.9,-0.023
BA,Montag,329,51.7,52.6,0.228
BA,Dienstag,364,45.1,45.3,-0.262
BA,Mittwoch,360,46.9,48.3,-0.154
BA,Donnerstag,354,48.0,53.7,-0.118
BA,Freitag,352,46.9,45.2,-0.116
BABA,Montag,329,53.8,52.0,0.153
BABA,Dienstag,364,49.7,49.2,0.037
BABA,Mittwoch,360,43.9,41.7,-0.019
BABA,Donnerstag,354,50.8,52.3,0.026
BABA,Freitag,352,44.3,42.0,-0.246
BAC,Montag,329,50.8,51.4,0.09
BAC,Dienstag,364,51.6,53.3,-0.035
BAC,Mittwoch,360,48.6,51.1,-0.069
BAC,Donnerstag,354,49.7,46.9,0.059
BAC,Freitag,352,56.0,48.6,0.058
BAS.DE,Montag,352,49.4,45.7,0.037
BAS.DE,Dienstag,360,51.1,51.7,0.054
BAS.DE,Mittwoch,359,50.7,49.6,0.025
BAS.DE,Donnerstag,358,48.0,49.7,-0.092
BAS.DE,Freitag,352,48.9,53.4,-0.046
BAYN.DE,Montag,352,48.0,47.2,0.047
BAYN.DE,Dienstag,360,48.3,52.5,-0.041
BAYN.DE,Mittwoch,359,48.7,48.7,-0.022
BAYN.DE,Donnerstag,358,47.2,45.0,-0.065
BAYN.DE,Freitag,352,49.1,50.6,-0.083
BBVA,Montag,329,55.0,56.8,0.143
BBVA,Dienstag,364,49.5,52.7,-0.012
BBVA,Mittwoch,360,50.8,50.3,0.008
BBVA,Donnerstag,354,48.3,52.0,0.073
BBVA,Freitag,352,50.9,50.3,0.032
BEI.DE,Montag,352,50.6,47.7,-0.039
BEI.DE,Dienstag,360,51.7,49.7,-0.057
BEI.DE,Mittwoch,359,52.9,52.4,0.221
BEI.DE,Donnerstag,358,46.4,46.9,-0.088
BEI.DE,Freitag,352,52.6,55.7,0.023
BHP,Montag,329,55.0,52.6,0.19
BHP,Dienstag,364,51.4,52.2,0.058
BHP,Mittwoch,360,46.1,45.8,-0.012
BHP,Donnerstag,354,50.6,49.4,0.034
BHP,Freitag,352,50.0,46.0,0.021
BIIB,Montag,329,50.8,51.7,0.146
BIIB,Dienstag,364,47.5,48.6,-0.158
BIIB,Mittwoch,360,45.6,48.3,0.114
BIIB,Donnerstag,354,44.6,46.6,-0.066
BIIB,Freitag,352,47.2,48.6,0.02
BKNG,Montag,329,51.4,52.0,0.096
BKNG,Dienstag,364,55.5,56.0,0.062
BKNG,Mittwoch,360,48.1,52.5,0.032
BKNG,Donnerstag,354,50.8,49.7,-0.019
BKNG,Freitag,352,50.0,51.4,-0.025
BKR,Montag,329,51.7,53.2,0.144
BKR,Dienstag,364,50.5,50.0,-0.024
BKR,Mittwoch,360,43.9,44.7,-0.151
BKR,Donnerstag,354,49.2,48.9,0.034
BKR,Freitag,352,52.0,48.9,0.179
BLK,Montag,329,51.1,49.8,0.032
BLK,Dienstag,364,46.2,44.2,-0.048
BLK,Mittwoch,360,49.2,50.3,0.02
BLK,Donnerstag,354,54.0,50.3,0.14
BLK,Freitag,352,50.9,48.6,-0.031
BMO,Montag,329,55.9,55.3,0.095
BMO,Dienstag,364,50.5,49.7,0.011
BMO,Mittwoch,360,54.4,55.3,0.043
BMO,Donnerstag,354,51.7,50.3,-0.007
BMO,Freitag,352,54.3,50.9,0.051
BMW.DE,Montag,352,52.3,52.8,0.067
BMW.DE,Dienstag,360,47.8,50.0,-0.046
BMW.DE,Mittwoch,359,52.1,49.0,0.077
BMW.DE,Donnerstag,358,46.4,49.2,-0.165
BMW.DE,Freitag,352,52.0,51.1,0.05
BMY,Montag,329,49.8,54.7,0.015
BMY,Dienstag,364,47.8,49.2,-0.049
BMY,Mittwoch,360,45.8,49.4,-0.052
BMY,Donnerstag,354,49.4,47.7,0.013
BMY,Freitag,352,52.0,50.6,0.078
BNR.DE,Montag,352,48.9,47.7,-0.055
BNR.DE,Dienstag,360,49.4,46.9,-0.024
BNR.DE,Mittwoch,359,47.9,49.3,0.1
BNR.DE,Donnerstag,358,51.1,49.2,-0.009
BNR.DE,Freitag,352,53.7,54.8,0.09
BNS,Montag,329,53.5,51.4,0.057
BNS,Dienstag,364,47.5,47.0,-0.035
BNS,Mittwoch,360,49.4,51.1,0.025
BNS,Donnerstag,354,53.4,50.8,0.04
BNS,Freitag,352,51.4,49.7,0.006
BNY,Montag,329,54.7,57.1,0.158
BNY,Dienstag,364,52.2,54.1,-0.012
BNY,Mittwoch,360,47.8,51.9,-0.001
BNY,Donnerstag,354,54.5,54.2,0.125
BNY,Freitag,352,49.1,50.9,-0.018
BP,Montag,329,51.7,53.5,0.057
BP,Dienstag,364,44.2,46.7,-0.1
BP,Mittwoch,360,46.4,45.6,-0.133
BP,Donnerstag,354,48.3,48.3,-0.089
BP,Freitag,352,50.0,44.0,-0.022
BRK-B,Montag,329,49.2,48.0,-0.005
BRK-B,Dienstag,364,47.8,45.6,-0.055
BRK-B,Mittwoch,360,49.4,48.9,-0.041
BRK-B,Donnerstag,354,50.6,46.3,-0.003
BRK-B,Freitag,352,54.5,52.6,0.075
BTC-USD,Montag,365,53.7,50.7,0.384
BTC-USD,Dienstag,365,48.2,47.4,0.024
BTC-USD,Mittwoch,365,51.2,52.6,0.448
BTC-USD,Donnerstag,366,45.9,43.7,-0.193
BTC-USD,Freitag,366,50.8,49.5,0.142
BTI,Montag,329,55.0,56.2,0.144
