ticker,datum,stunden_erfasst,reihen_lage,reihen_abweichung,tages_offen,tages_hoch,tages_tief,tages_schluss,atr,tief_marke,tief_datum,tief_bestaetigt,tief_urteil,tief_stunden_drunter,tief_abstand_atr,tief_tiefster_punkt_atr,hoch_marke,hoch_datum,hoch_urteil,hoch_stunden_drueber,hoch_abstand_atr,stand_gehalten
BMW.DE,2026-09-11,9,ok,0.0026,63.3,63.52,61.96,62.86,1.5986,59.94,2026-09-03,1,unberuehrt,0,1.827,1.264,62.72,2026-08-28,gebrochen,2,0.088,0
BNR.DE,2026-09-11,9,ok,0.0117,61.56,61.58,60.28,60.62,1.3871,60.38,2026-09-08,1,angetestet,0,0.173,-0.072,63.72,2026-09-01,unberuehrt,0,-2.235,0
CAT,2026-09-11,7,ok,0.0002,821.0,826.0,815.09,818.4,20.4907,797.5,2026-09-10,1,unberuehrt,0,1.02,0.858,830.5,2026-09-08,unberuehrt,0,-0.591,0
CBK.DE,2026-09-11,9,ok,0.0164,42.3,43.03,42.29,42.81,0.8821,41.8,2026-09-10,0,unberuehrt,0,1.145,0.555,43.2,2026-09-08,unberuehrt,0,-0.442,0
CDNS,2026-09-11,7,ok,0.0001,288.18,293.4,285.02,289.41,12.1993,281.65,2026-09-09,1,unberuehrt,0,0.636,0.276,347.72,2026-08-27,unberuehrt,0,-4.78,0
CDW,2026-09-11,7,ok,0.0,144.81,154.85,144.81,153.79,7.0814,140.91,2026-09-09,1,unberuehrt,0,1.819,0.551,158.05,2026-09-03,unberuehrt,0,-0.602,0
CEG,2026-09-11,7,ok,0.0005,290.58,291.3,284.1,284.886,9.2675,284.08,2026-09-11,0,unberuehrt,0,0.087,0.002,305.8,2026-09-08,unberuehrt,0,-2.257,0
CHTR,2026-09-11,7,ok,0.0003,141.98,146.18,139.17,145.82,7.77,133.33,2026-09-09,1,unberuehrt,0,1.607,0.752,160.7,2026-09-03,unberuehrt,0,-1.915,0
CMCSA,2026-09-11,7,ok,0.0002,25.21,25.41,25.0,25.195,0.6836,24.19,2026-09-09,0,unberuehrt,0,1.47,1.185,27.19,2026-09-02,unberuehrt,0,-2.918,0
CON.DE,2026-09-11,9,ok,0.0042,70.88,71.78,69.94,70.4,1.7443,69.24,2026-09-10,0,unberuehrt,0,0.665,0.401,73.0,2026-09-04,unberuehrt,0,-1.491,0
COST,2026-09-11,7,ok,0.0,905.43,907.3588,900.75,904.77,14.6121,898.43,2026-09-09,1,unberuehrt,0,0.434,0.159,953.73,2026-08-28,unberuehrt,0,-3.351,0
CPRT,2026-09-11,7,ok,0.0003,31.76,32.02,29.58,29.94,1.1164,29.58,2026-09-11,0,unberuehrt,0,0.322,0.0,34.44,2026-09-03,unberuehrt,0,-4.031,0
CRM,2026-09-11,7,ok,0.0002,242.02,250.5472,242.02,247.68,11.9314,241.75,2026-09-10,1,unberuehrt,0,0.497,0.023,268.27,2026-09-03,unberuehrt,0,-1.726,0
CRWD,2026-09-11,7,ok,0.0003,208.21,213.19,204.45,206.67,13.3685,205.4,2026-09-08,1,zurueckerobert,1,0.095,-0.071,218.31,2026-09-04,unberuehrt,0,-0.871,0
CSCO,2026-09-11,7,ok,0.0001,108.75,112.215,108.36,112.12,2.085,107.36,2026-09-10,1,unberuehrt,0,2.283,0.48,110.43,2026-09-09,gebrochen,7,0.811,0
CSGP,2026-09-11,7,ok,0.0003,29.73,30.595,29.71,30.45,1.1614,28.79,2026-09-10,1,unberuehrt,0,1.429,0.792,33.82,2026-08-19,unberuehrt,0,-2.902,0
CSX,2026-09-11,7,ok,0.0,49.65,49.65,48.7,48.95,1.0129,47.83,2026-09-01,0,unberuehrt,0,1.106,0.859,52.15,2026-08-26,unberuehrt,0,-3.159,0
CTAS,2026-09-11,7,ok,0.0005,200.51,202.98,199.55,201.61,3.2507,197.29,2026-09-09,1,unberuehrt,0,1.329,0.695,201.38,2026-09-08,gebrochen,7,0.071,0
CTSH,2026-09-11,7,ok,0.0002,58.41,60.05,58.06,59.985,1.8986,57.89,2026-09-10,1,unberuehrt,0,1.103,0.09,65.42,2026-09-03,unberuehrt,0,-2.863,0
DASH,2026-09-11,7,ok,0.0001,202.05,204.99,201.275,201.98,8.1213,191.745,2026-09-10,1,unberuehrt,0,1.26,1.173,238.828,2026-08-28,unberuehrt,0,-4.537,0
DB1.DE,2026-09-11,9,ok,0.0125,278.1,279.1,275.5,276.2,5.5214,272.1,2026-09-09,1,unberuehrt,0,0.743,0.616,285.5,2026-09-03,unberuehrt,0,-1.684,0
DBK.DE,2026-09-11,9,ok,0.0016,35.0,35.11,34.69,34.79,0.8261,34.675,2026-09-10,0,unberuehrt,0,0.139,0.018,35.845,2026-09-08,unberuehrt,0,-1.277,0
DDOG,2026-09-11,7,ok,0.0,221.72,225.31,218.28,221.2,11.7871,218.27,2026-09-11,0,unberuehrt,0,0.249,0.001,227.58,2026-09-10,unberuehrt,0,-0.541,0
DHL.DE,2026-09-11,9,ok,0.0015,55.16,55.6,54.86,55.02,0.85,54.04,2026-09-09,1,unberuehrt,0,1.153,0.965,55.7,2026-09-08,unberuehrt,0,-0.8,0
DIS,2026-09-11,7,ok,0.0001,106.74,107.36,105.64,106.535,2.2293,102.99,2026-09-09,1,unberuehrt,0,1.59,1.189,109.2,2026-09-03,unberuehrt,0,-1.195,0
DTE.DE,2026-09-11,9,ok,0.0273,28.03,28.68,27.91,28.64,0.5514,27.72,2026-09-10,0,unberuehrt,0,1.668,0.345,29.1,2026-09-03,unberuehrt,0,-0.834,0
DTG.DE,2026-09-11,9,ok,0.0097,43.98,44.38,43.85,44.205,0.9657,43.49,2026-09-10,0,unberuehrt,0,0.74,0.373,45.81,2026-09-04,unberuehrt,0,-1.662,0
DXCM,2026-09-11,7,ok,0.0002,84.65,85.815,82.83,83.05,2.3886,82.29,2026-09-10,1,unberuehrt,0,0.318,0.226,92.34,2026-09-01,unberuehrt,0,-3.889,0
ENR.DE,2026-09-11,9,ok,0.0205,141.64,144.52,141.32,143.7,4.9829,140.6,2026-09-10,0,unberuehrt,0,0.622,0.144,149.98,2026-09-09,unberuehrt,0,-1.26,0
EOAN.DE,2026-09-11,9,ok,0.0048,17.715,17.82,17.545,17.655,0.3136,17.135,2026-08-14,0,unberuehrt,0,1.658,1.308,19.115,2026-08-11,unberuehrt,0,-4.656,0
EXC,2026-09-11,7,ok,0.0002,43.76,43.835,43.04,43.15,0.73,43.04,2026-09-11,0,unberuehrt,0,0.151,0.0,44.59,2026-09-03,unberuehrt,0,-1.973,0
FANG,2026-09-11,7,ok,0.0001,204.68,205.06,200.87,205.0,5.4814,200.87,2026-09-11,0,unberuehrt,0,0.753,0.0,207.57,2026-09-10,unberuehrt,0,-0.469,0
FAST,2026-09-11,7,ok,0.0,49.74,49.91,49.01,49.32,1.0493,48.06,2026-09-10,1,unberuehrt,0,1.201,0.905,50.42,2026-09-04,unberuehrt,0,-1.048,0
FRE.DE,2026-09-11,9,ok,0.0125,44.92,45.85,44.535,45.265,0.9404,43.21,2026-09-04,1,unberuehrt,0,2.185,1.409,45.2,2026-09-03,gebrochen,8,0.069,0
FTNT,2026-09-11,7,ok,0.0001,158.2,159.3,155.18,156.06,7.0471,151.8,2026-09-02,0,unberuehrt,0,0.604,0.48,173.89,2026-08-27,unberuehrt,0,-2.53,0
GEHC,2026-09-11,7,ok,0.0,65.0,65.3075,63.22,63.93,1.6213,63.22,2026-09-11,0,unberuehrt,0,0.438,0.0,75.24,2026-08-24,unberuehrt,0,-6.976,0
GILD,2026-09-11,7,ok,0.0001,145.72,145.99,143.5,143.7,3.2371,143.5,2026-09-11,0,unberuehrt,0,0.062,0.0,152.55,2026-09-02,unberuehrt,0,-2.734,0
GOOGL,2026-09-11,7,ok,0.0002,335.065,342.97,335.065,338.42,7.3214,327.74,2026-09-10,1,unberuehrt,0,1.459,1.0,344.68,2026-09-03,unberuehrt,0,-0.855,0
GS,2026-09-11,7,ok,0.0003,1035.05,1042.99,1018.585,1028.89,22.155,1011.4,2026-09-09,1,unberuehrt,0,0.789,0.324,1043.84,2026-09-08,unberuehrt,0,-0.675,0
HD,2026-09-11,7,ok,0.0,309.09,311.21,307.9,308.75,5.8221,304.3,2026-09-10,1,unberuehrt,0,0.764,0.618,321.8,2026-09-04,unberuehrt,0,-2.241,0
