ticker,datum,stunden_erfasst,reihen_lage,reihen_abweichung,tages_offen,tages_hoch,tages_tief,tages_schluss,atr,tief_marke,tief_datum,tief_bestaetigt,tief_urteil,tief_stunden_drunter,tief_abstand_atr,tief_tiefster_punkt_atr,hoch_marke,hoch_datum,hoch_urteil,hoch_stunden_drueber,hoch_abstand_atr,stand_gehalten
SHL.DE,2026-09-11,9,ok,0.0065,38.57,38.78,38.17,38.17,0.6543,38.29,2026-09-10,0,gebrochen,1,-0.183,-0.183,39.71,2026-08-28,unberuehrt,0,-2.354,0
SHW,2026-09-11,7,ok,0.0,321.56,324.91,317.55,323.31,6.63,315.42,2026-09-10,1,unberuehrt,0,1.19,0.321,355.51,2026-08-26,unberuehrt,0,-4.857,0
SIE.DE,2026-09-11,9,ok,0.0273,260.6,265.45,260.5,265.15,6.0571,258.1,2026-09-10,0,unberuehrt,0,1.164,0.396,291.7,2026-08-28,unberuehrt,0,-4.383,0
SNPS,2026-09-11,7,ok,0.0003,399.5,400.83,394.25,397.48,18.14,380.33,2026-09-04,0,unberuehrt,0,0.945,0.767,419.84,2026-09-03,unberuehrt,0,-1.233,0
SPGI,2026-09-11,7,ok,0.0,413.0,414.13,407.44,410.69,12.1421,407.44,2026-09-11,0,angetestet,0,0.268,-0.0,454.92,2026-09-01,unberuehrt,0,-3.643,0
SRT3.DE,2026-09-11,9,ok,0.0121,230.9,234.2,230.3,233.7,6.7857,230.9,2026-09-10,0,zurueckerobert,1,0.413,-0.088,254.3,2026-08-28,unberuehrt,0,-3.036,0
SY1.DE,2026-09-11,9,ok,0.0057,88.28,88.68,87.36,87.46,1.6714,87.7,2026-09-10,0,gebrochen,2,-0.144,-0.203,94.28,2026-09-01,unberuehrt,0,-4.08,0
TEAM,2026-09-11,7,ok,0.0001,178.61,182.995,176.76,179.68,9.4319,174.21,2026-09-09,1,unberuehrt,0,0.58,0.27,198.6,2026-09-03,unberuehrt,0,-2.006,0
TMUS,2026-09-11,7,ok,0.0002,179.2,183.8999,178.655,182.36,4.3021,174.65,2026-09-10,1,unberuehrt,0,1.792,0.931,189.87,2026-09-03,unberuehrt,0,-1.746,0
TRV,2026-09-11,7,ok,0.0001,371.86,375.3,369.6,375.24,6.2557,359.87,2026-09-09,1,unberuehrt,0,2.457,1.555,376.57,2026-09-03,unberuehrt,0,-0.213,0
TSLA,2026-09-11,7,ok,0.0001,364.14,368.66,361.6,365.47,14.2721,357.68,2026-09-10,0,unberuehrt,0,0.546,0.275,375.44,2026-09-09,unberuehrt,0,-0.699,0
TTD,2026-09-11,7,ok,0.0003,14.04,14.39,13.864,14.345,0.5833,13.71,2026-09-09,1,unberuehrt,0,1.089,0.264,15.26,2026-09-04,unberuehrt,0,-1.569,0
TTWO,2026-09-11,7,ok,0.0002,217.58,219.81,215.27,215.42,8.1093,208.52,2026-09-09,1,unberuehrt,0,0.851,0.832,220.71,2026-09-02,unberuehrt,0,-0.652,0
TXN,2026-09-11,7,ok,0.0,263.23,273.325,261.615,268.7,7.4179,255.82,2026-09-10,1,unberuehrt,0,1.736,0.781,262.74,2026-09-09,gebrochen,7,0.803,0
UNH,2026-09-11,7,ok,0.0006,390.42,391.73,375.9,378.87,10.1814,375.9,2026-09-11,0,unberuehrt,0,0.292,0.0,405.16,2026-09-03,unberuehrt,0,-2.582,0
V,2026-09-11,7,ok,0.0001,368.92,371.8125,367.98,370.5,5.6671,365.52,2026-09-10,1,unberuehrt,0,0.879,0.434,382.21,2026-09-03,unberuehrt,0,-2.066,0
VNA.DE,2026-09-11,9,ok,0.0098,18.065,18.21,18.005,18.12,0.4039,17.945,2026-09-10,0,unberuehrt,0,0.433,0.149,19.345,2026-09-04,unberuehrt,0,-3.033,0
VOW3.DE,2026-09-11,9,ok,0.0027,82.18,82.48,80.04,80.96,2.6786,79.86,2026-09-08,0,unberuehrt,0,0.411,0.067,83.76,2026-09-04,unberuehrt,0,-1.045,0
VRSK,2026-09-11,7,ok,0.0003,176.75,177.215,173.8318,176.25,5.9614,171.79,2026-09-09,0,unberuehrt,0,0.748,0.343,194.19,2026-09-03,unberuehrt,0,-3.009,0
VRTX,2026-09-11,7,ok,0.0004,522.1,522.1,511.81,515.63,11.0886,511.81,2026-09-11,0,unberuehrt,0,0.344,0.0,560.25,2026-09-03,unberuehrt,0,-4.024,0
VZ,2026-09-11,7,ok,0.0002,50.3,50.82,50.22,50.6,0.8464,48.82,2026-09-09,1,unberuehrt,0,2.103,1.654,50.93,2026-09-01,unberuehrt,0,-0.39,0
WBD,2026-09-11,7,ok,0.0005,28.24,28.6,27.965,28.055,0.3186,27.91,2026-09-09,1,unberuehrt,0,0.455,0.173,28.77,2026-09-02,unberuehrt,0,-2.244,0
WDAY,2026-09-11,7,ok,0.0002,185.42,188.57,184.34,185.67,8.34,173.17,2026-08-12,1,unberuehrt,0,1.499,1.339,185.82,2026-08-10,zurueckerobert,1,-0.018,0
WMT,2026-09-11,7,ok,0.0002,106.227,107.21,105.715,107.125,1.8986,105.16,2026-09-09,1,unberuehrt,0,1.035,0.292,109.35,2026-09-03,unberuehrt,0,-1.172,0
XEL,2026-09-11,7,ok,0.0,76.29,76.29,75.21,75.5,1.2093,75.21,2026-09-11,0,unberuehrt,0,0.24,0.0,77.06,2026-09-09,unberuehrt,0,-1.29,0
ZAL.DE,2026-09-11,9,ok,0.0013,22.31,22.38,22.0,22.24,0.6964,22.24,2026-09-10,0,zurueckerobert,7,0.0,-0.345,23.97,2026-09-08,unberuehrt,0,-2.484,0
ZS,2026-09-11,7,ok,0.0001,164.0,165.95,160.75,164.53,9.2679,160.75,2026-09-11,0,unberuehrt,0,0.408,0.0,169.1,2026-09-09,unberuehrt,0,-0.493,0
