ticker,klasse_atr,faelle,verlust_atr_median,verlust_pct_median,hoeher_nach_5_pct,schluss_5_median_pct,tiefer_5_median_atr,tiefer_5_p90_atr,hoch_5_median_atr,hoeher_nach_10_pct,schluss_10_median_pct,tiefer_10_median_atr,tiefer_10_p90_atr,hoch_10_median_atr,hoeher_nach_20_pct,schluss_20_median_pct,tiefer_20_median_atr,tiefer_20_p90_atr,hoch_20_median_atr,hoeher_nach_60_pct,schluss_60_median_pct,tiefer_60_median_atr,tiefer_60_p90_atr,hoch_60_median_atr
ABNB,1.5,8,1.53,5.51,50.0,-1.29,1.14,2.5,0.9,25.0,-3.26,1.62,3.08,0.96,37.5,-2.57,2.76,4.27,1.08,37.5,-2.43,4.21,7.27,2.59
ABNB,1.75,6,1.86,5.5,66.7,1.55,0.89,3.22,1.36,50.0,-0.23,1.87,4.86,1.86,66.7,5.55,2.06,9.02,2.38,33.3,-6.5,3.2,9.18,4.32
ABNB,2.0,5,2.18,6.87,80.0,0.76,0.62,1.46,1.15,40.0,-0.77,1.42,1.49,1.27,40.0,-0.27,1.49,4.46,1.33,60.0,7.26,3.4,5.17,3.47
ABNB,2.5,2,2.66,9.47,50.0,-0.23,1.18,1.75,0.81,50.0,-0.64,1.18,1.75,1.13,100.0,2.6,1.18,1.75,2.06,100.0,15.97,1.41,1.79,5.47
ABNB,2.75,1,2.98,8.66,0.0,-1.57,0.77,0.77,1.06,100.0,2.03,1.11,1.11,1.43,100.0,1.98,1.11,1.11,1.67,100.0,0.27,2.09,2.09,1.67
ABNB,3.0,1,3.04,13.38,100.0,2.86,0.1,0.1,1.0,100.0,4.13,0.1,0.1,1.09,100.0,2.79,0.1,0.1,1.11,100.0,19.27,0.1,0.1,4.46
ABT,0.25,215,0.36,0.68,50.2,0.05,0.92,2.51,0.95,54.0,0.44,1.32,4.09,1.45,51.6,0.12,1.8,6.46,2.11,57.7,1.98,3.39,7.99,4.42
ABT,0.5,142,0.62,1.24,58.5,0.57,0.85,2.3,1.1,48.6,-0.08,1.22,4.1,1.59,50.7,0.13,1.94,5.77,2.07,57.0,1.54,3.48,9.13,4.01
ABT,0.75,96,0.84,1.66,51.0,0.06,0.93,2.78,1.03,54.2,0.35,1.23,4.96,1.42,40.6,-0.88,2.17,5.49,1.56,55.2,1.58,4.32,9.66,3.51
ABT,1.0,57,1.12,2.19,49.1,-0.05,0.81,2.48,1.02,56.1,0.39,1.24,3.42,1.3,59.6,0.92,1.94,6.4,2.34,57.9,2.89,3.55,7.95,3.44
ABT,1.25,24,1.37,3.11,66.7,1.03,0.89,1.9,1.31,58.3,1.45,1.03,3.26,1.82,66.7,2.8,1.36,5.27,2.1,58.3,2.64,3.65,7.04,4.49
ABT,1.5,9,1.61,2.96,33.3,-3.54,2.27,3.73,0.13,33.3,-2.94,2.27,3.73,0.48,33.3,-1.24,3.09,3.84,1.34,33.3,-2.26,4.13,8.36,1.62
ABT,1.75,5,1.88,3.05,40.0,-1.98,1.66,5.36,0.49,40.0,-1.08,1.66,5.45,0.49,80.0,5.38,1.76,10.42,3.29,60.0,4.68,3.0,10.66,7.34
ABT,2.0,4,2.09,3.95,75.0,0.45,0.9,3.41,1.69,25.0,-0.19,1.56,3.48,1.84,25.0,-2.27,1.69,8.71,2.29,75.0,6.97,5.59,10.25,4.63
ABT,2.25,4,2.44,5.25,75.0,2.84,1.29,1.75,1.78,75.0,3.21,1.29,1.88,3.25,75.0,4.94,1.29,4.24,3.7,75.0,12.15,1.29,4.24,7.17
ABT,3.75,2,3.87,9.28,50.0,0.97,0.33,0.9,1.43,100.0,2.57,0.33,0.9,1.99,100.0,5.3,0.33,0.9,3.3,50.0,-0.52,2.02,3.94,4.27
ABT,4.25,1,4.45,9.31,100.0,1.99,0.18,0.18,2.09,100.0,4.37,0.18,0.18,2.3,100.0,10.79,0.18,0.18,5.35,100.0,18.36,0.18,0.18,9.02
ACN,0.25,186,0.37,0.81,61.8,0.97,0.71,2.67,1.25,56.5,0.93,1.13,3.69,1.73,58.1,1.51,1.86,6.51,2.44,52.7,1.06,3.52,11.45,4.59
ACN,0.5,141,0.63,1.32,48.9,-0.16,1.08,3.42,1.12,51.8,0.5,1.55,4.7,1.54,56.0,1.12,2.22,7.02,2.39,54.6,1.17,4.03,12.02,4.19
ACN,0.75,93,0.84,1.96,46.2,-0.52,1.17,3.11,0.85,41.9,-0.61,1.57,4.63,1.3,52.7,0.5,2.25,5.96,2.22,58.1,3.82,3.97,9.17,4.29
ACN,1.0,52,1.14,2.62,44.2,-0.37,1.1,3.01,0.91,61.5,1.05,1.9,4.73,1.68,46.2,-0.72,2.26,7.17,2.23,63.5,3.51,3.74,9.61,4.38
ACN,1.25,27,1.4,2.89,59.3,0.76,0.81,2.62,1.51,55.6,1.36,0.98,4.76,1.88,70.4,2.22,1.53,6.24,2.04,51.9,0.74,3.79,11.44,5.67
ACN,1.5,13,1.58,3.44,69.2,0.28,1.0,2.56,1.0,46.2,-0.87,1.05,3.53,1.53,61.5,1.79,1.3,4.0,2.57,53.8,0.88,3.1,8.61,4.44
ACN,1.75,7,1.89,4.53,57.1,0.61,1.22,3.41,1.13,71.4,2.19,1.22,6.09,1.73,57.1,2.87,1.33,8.73,2.47,71.4,2.29,2.29,9.32,3.6
ACN,2.0,10,2.1,4.07,40.0,-1.92,2.04,3.61,0.73,30.0,-1.27,2.71,9.06,1.36,40.0,-3.88,5.12,11.67,1.37,60.0,4.5,6.07,11.67,2.77
ACN,2.25,2,2.43,7.47,0.0,-2.24,1.76,2.47,0.34,0.0,-6.68,2.93,3.34,0.34,0.0,-14.56,6.84,8.43,0.34,0.0,-18.58,8.47,10.35,0.34
ACN,2.5,4,2.56,5.63,100.0,2.65,0.67,0.78,1.49,100.0,5.63,0.67,0.78,3.91,75.0,7.16,0.78,2.18,4.4,100.0,8.44,0.78,2.18,6.05
ACN,3.0,1,3.07,6.86,100.0,3.54,0.17,0.17,2.38,100.0,5.32,0.17,0.17,2.91,0.0,-0.53,1.17,1.17,3.27,0.0,-16.6,7.07,7.07,3.27
ACN,3.5,1,3.61,9.31,100.0,0.46,1.57,1.57,0.56,0.0,-3.49,1.57,1.57,0.56,0.0,-7.8,3.26,3.26,0.56,0.0,-16.92,6.66,6.66,0.56
ADBE,0.25,183,0.37,0.97,54.6,0.41,0.75,2.61,1.1,60.7,1.54,1.0,4.25,1.67,54.6,1.32,1.63,5.91,2.37,46.4,-2.56,4.57,10.25,4.16
ADBE,0.5,128,0.6,1.78,61.7,1.24,0.92,2.74,1.06,53.9,0.32,1.19,3.74,1.56,48.4,-0.59,1.98,5.69,2.14,49.2,-1.25,4.58,10.42,3.65
