ticker,index,vix_korr_500,korr_125,beta_125,beta_250,beta_abwaerts,einbruch_faktor,einbruch_faelle
MS,S&P 500,-0.65,0.64,1.38,1.38,0.89,1.17,67
MSFT,S&P 500,-0.45,0.36,1.02,0.98,0.73,0.91,67
MSTR,S&P 500,-0.4,0.47,2.99,3.08,2.0,1.61,67
MTX.DE,DAX,,0.68,1.61,1.34,1.1,1.41,70
MU,S&P 500,-0.47,0.53,3.74,3.3,3.53,1.23,67
MUFG,S&P 500,-0.54,0.39,0.84,0.96,1.07,1.03,67
MUV2.DE,DAX,,0.2,0.26,0.39,0.57,1.01,70
NEE,S&P 500,-0.21,0.06,0.1,0.21,0.08,0.94,67
NEM,S&P 500,-0.27,0.55,2.03,1.65,1.58,0.45,67
NET,S&P 500,-0.36,0.24,1.38,1.58,1.63,1.68,67
NFLX,S&P 500,-0.32,0.11,0.3,0.33,0.13,0.4,67
NKE,S&P 500,-0.34,0.22,0.66,0.72,0.8,1.19,67
NOW,S&P 500,-0.32,0.11,0.57,0.69,0.29,1.26,67
NVDA,S&P 500,-0.58,0.64,1.95,1.91,2.24,1.61,67
NVO,S&P 500,-0.21,0.12,0.36,1.09,1.01,0.54,67
NVS,S&P 500,-0.2,0.1,0.25,0.35,0.04,0.7,67
NXPI,S&P 500,-0.54,0.46,2.03,1.82,2.44,1.31,67
ODFL,S&P 500,-0.41,0.34,0.92,1.02,0.98,0.93,67
ON,S&P 500,-0.48,0.54,3.25,2.57,2.4,1.49,67
ORCL,S&P 500,-0.36,0.52,2.45,2.03,1.93,1.14,67
ORLY,S&P 500,-0.15,0.01,0.02,0.04,-0.21,0.85,67
P911.DE,DAX,,0.46,0.85,0.78,0.74,1.63,17
PAH3.DE,DAX,,0.5,0.83,0.77,0.65,1.32,70
PANW,S&P 500,-0.37,0.28,1.23,1.19,0.96,1.32,67
PAYX,S&P 500,-0.25,-0.12,-0.3,0.05,0.04,1.23,67
PBR,S&P 500,-0.23,-0.27,-0.74,-0.21,0.47,1.41,67
PCAR,S&P 500,-0.44,0.46,1.02,0.93,1.06,0.71,67
PDD,S&P 500,-0.26,0.22,0.64,1.0,0.81,0.09,67
PEP,S&P 500,-0.09,-0.11,-0.18,-0.2,-0.09,0.56,67
PFE,S&P 500,-0.26,0.1,0.16,0.34,0.23,0.65,67
PG,S&P 500,-0.13,0.04,0.07,-0.03,-0.19,0.46,67
PGR,S&P 500,-0.12,-0.3,-0.68,-0.48,-0.44,0.39,67
PH,S&P 500,-0.61,0.39,0.84,0.82,0.86,1.33,67
PLD,S&P 500,-0.47,0.24,0.41,0.46,0.47,1.13,67
PLTR,S&P 500,-0.41,0.31,1.58,1.94,1.55,2.6,43
PM,S&P 500,-0.08,-0.15,-0.36,-0.17,-0.06,0.38,67
PSX,S&P 500,-0.34,-0.29,-0.72,-0.25,0.7,1.48,67
PYPL,S&P 500,-0.43,0.22,0.72,1.15,1.45,0.96,67
QCOM,S&P 500,-0.49,0.46,2.4,2.06,2.23,1.01,67
QIA.DE,DAX,,0.18,0.38,0.37,0.32,-0.08,70
REGN,S&P 500,-0.24,0.21,0.52,0.48,-0.22,-0.12,67
RHM.DE,DAX,,0.35,1.14,1.24,1.12,1.12,70
RIO,S&P 500,-0.41,0.58,1.45,1.27,1.02,1.02,67
ROP,S&P 500,-0.31,-0.14,-0.33,0.05,0.15,0.91,67
ROST,S&P 500,-0.39,0.28,0.62,0.66,0.31,1.16,67
RTX,S&P 500,-0.28,0.11,0.22,0.36,0.28,1.13,67
RWE.DE,DAX,,0.11,0.17,0.4,0.72,0.45,70
RY,S&P 500,-0.52,0.52,0.68,0.68,0.51,0.93,67
SAN,S&P 500,-0.52,0.69,1.75,1.65,1.17,1.48,67
SAP.DE,DAX,,0.29,0.79,1.0,1.14,0.77,70
SBUX,S&P 500,-0.43,0.14,0.27,0.57,0.76,1.08,67
SCCO,S&P 500,-0.47,0.66,2.65,2.37,2.2,1.23,67
SCHW,S&P 500,-0.44,0.08,0.16,0.47,0.23,1.14,67
SHEL,S&P 500,-0.33,-0.26,-0.46,-0.04,0.56,0.66,67
SHL.DE,DAX,,0.48,0.74,0.73,0.88,0.72,70
SHOP,S&P 500,-0.49,0.25,1.24,1.94,2.84,1.61,67
SHW,S&P 500,-0.43,0.43,1.02,0.83,0.49,0.87,67
SIE.DE,DAX,,0.81,1.6,1.58,1.44,1.26,70
SMFG,S&P 500,-0.55,0.46,1.07,1.15,1.23,0.81,67
SNDK,S&P 500,-0.42,0.46,4.12,4.06,4.29,3.86,6
SNOW,S&P 500,-0.31,0.14,0.79,1.34,1.06,2.13,43
SNPS,S&P 500,-0.37,0.42,1.43,1.69,1.84,1.06,67
SNY,S&P 500,-0.23,0.18,0.33,0.36,0.42,0.59,67
SO,S&P 500,-0.04,-0.15,-0.2,-0.21,-0.12,0.41,67
SONY,S&P 500,-0.43,0.23,0.54,0.77,0.96,0.97,67
SPG,S&P 500,-0.49,0.11,0.16,0.25,0.3,1.36,67
SPGI,S&P 500,-0.38,0.08,0.17,0.34,0.24,1.11,67
SPOT,S&P 500,-0.3,0.03,0.11,0.36,0.49,1.23,67
SRT3.DE,DAX,,0.38,0.98,1.08,1.38,0.77,70
STX,S&P 500,-0.37,0.38,2.2,2.3,2.28,0.96,67
SY1.DE,DAX,,0.3,0.46,0.4,0.92,0.4,70
SYK,S&P 500,-0.38,0.02,0.04,0.18,0.16,1.11,67
T,S&P 500,-0.04,-0.17,-0.35,-0.33,0.16,0.47,67
TD,S&P 500,-0.42,0.5,0.73,0.76,0.66,0.82,67
TEAM,S&P 500,-0.27,0.08,0.55,0.74,0.25,1.49,67
TJX,S&P 500,-0.3,0.11,0.21,0.14,-0.26,0.61,67
TM,S&P 500,-0.47,0.4,0.8,0.91,0.91,0.71,67
TMO,S&P 500,-0.41,0.14,0.35,0.59,0.81,0.78,67
TMUS,S&P 500,-0.09,-0.12,-0.34,-0.34,0.21,0.52,67
TRV,S&P 500,-0.28,-0.16,-0.3,-0.09,-0.29,0.72,67
TSLA,S&P 500,-0.54,0.6,2.35,2.2,2.36,1.75,67
TSM,S&P 500,-0.55,0.7,2.33,2.19,2.27,0.97,67
TTD,S&P 500,-0.26,0.15,0.74,0.9,1.27,1.77,67
TTE,S&P 500,-0.24,-0.3,-0.62,-0.25,0.3,0.78,67
TTWO,S&P 500,-0.3,0.17,0.44,0.66,0.52,0.52,67
TXN,S&P 500,-0.49,0.47,1.79,1.44,1.72,0.78,67
UBER,S&P 500,-0.36,0.26,0.74,0.91,1.11,1.41,67
UBS,S&P 500,-0.56,0.65,1.36,1.19,0.79,1.07,67
UL,S&P 500,-0.08,-0.02,-0.03,0.03,-0.09,0.47,67
UNH,S&P 500,-0.08,0.06,0.12,0.43,0.73,0.54,67
UNP,S&P 500,-0.39,-0.04,-0.07,0.23,0.38,1.12,67
UPS,S&P 500,-0.36,0.37,0.95,0.78,0.73,0.8,67
USB,S&P 500,-0.58,0.33,0.56,0.71,0.56,1.32,67
V,S&P 500,-0.45,0.0,0.0,0.3,0.45,0.87,67
VLO,S&P 500,-0.25,-0.29,-0.84,-0.28,0.8,1.45,67
VNA.DE,DAX,,0.66,1.14,0.98,1.35,0.68,70
VOW3.DE,DAX,,0.57,1.16,0.92,0.82,1.36,70
VRSK,S&P 500,-0.11,-0.24,-0.7,-0.35,-0.46,0.82,67
VRTX,S&P 500,-0.2,0.16,0.31,0.52,0.64,0.25,67
VZ,S&P 500,-0.04,-0.18,-0.35,-0.27,0.12,0.55,67
WBD,S&P 500,-0.44,0.28,0.46,0.49,0.75,1.34,67
WDAY,S&P 500,-0.26,-0.02,-0.11,0.38,0.27,1.38,67
WDC,S&P 500,-0.4,0.46,2.96,2.86,2.06,1.77,67
WELL,S&P 500,-0.19,-0.14,-0.26,-0.0,0.13,1.18,67
WFC,S&P 500,-0.51,0.21,0.42,0.72,0.73,1.2,67
WMT,S&P 500,-0.26,0.02,0.03,-0.05,-0.23,0.28,67
XEL,S&P 500,-0.18,0.03,0.04,0.02,0.01,0.26,67
XOM,S&P 500,-0.17,-0.48,-1.05,-0.55,0.13,0.77,67
ZAL.DE,DAX,,0.35,0.87,0.86,0.97,0.99,70
ZS,S&P 500,-0.3,0.1,0.65,0.97,0.93,1.06,67
