ticker,position,faelle,zurueckfall_atr_min,zurueckfall_atr_p25,zurueckfall_atr_median,zurueckfall_atr_p75,zurueckfall_atr_p90,zurueckfall_atr_p95,zurueckfall_atr_max,n_21t,haelt_21t_pct,ruecksetzer_21t_median,ruecksetzer_21t_p75,ruecksetzer_21t_p90,n_42t,haelt_42t_pct,ruecksetzer_42t_median,ruecksetzer_42t_p75,ruecksetzer_42t_p90,n_63t,haelt_63t_pct,ruecksetzer_63t_median,ruecksetzer_63t_p75,ruecksetzer_63t_p90,n_84t,haelt_84t_pct,ruecksetzer_84t_median,ruecksetzer_84t_p75,ruecksetzer_84t_p90,n_126t,haelt_126t_pct,ruecksetzer_126t_median,ruecksetzer_126t_p75,ruecksetzer_126t_p90,n_189t,haelt_189t_pct,ruecksetzer_189t_median,ruecksetzer_189t_p75,ruecksetzer_189t_p90,n_252t,haelt_252t_pct,ruecksetzer_252t_median,ruecksetzer_252t_p75,ruecksetzer_252t_p90
BNY,Hoch 3,35,0.7475812572508452,2.4101592020950857,4.00305273897059,6.30591872168322,8.062273659532028,9.52339439506169,11.44443704015093,35,22.9,3.0,5.0,6.0,35,14.3,3.5,5.62,7.2,35,8.6,4.0,6.12,7.95,34,8.8,4.88,6.88,8.68,33,9.1,5.5,8.25,10.85,32,3.1,5.5,9.62,11.48,31,0.0,6.5,9.75,13.25
BNY,Hoch 4,19,0.776513223510874,2.2891452980617166,3.42192587161616,5.884784435840016,8.50262319270884,9.4936579286274,13.407723673261458,19,31.6,2.5,3.5,7.35,19,15.8,2.75,5.25,7.4,19,10.5,3.25,5.75,8.4,18,11.1,4.25,7.12,9.48,17,11.8,5.5,10.0,12.9,16,12.5,4.88,11.94,14.12,16,0.0,4.88,12.0,15.5
BNY,Hoch 5,10,0.8936216360924021,2.4024086883847544,3.6552042557055198,6.491738543936601,8.006610779290538,11.052665257705812,14.098719736121096,10,40.0,2.75,4.0,6.3,10,20.0,2.75,5.31,6.62,10,20.0,3.5,6.31,7.92,10,10.0,3.75,8.94,14.2,9,11.1,6.25,14.0,16.0,9,11.1,6.25,14.0,16.0,9,0.0,6.25,14.0,16.0
BNY,Hoch 6,5,1.2494005870635658,2.115278819887849,2.5404298955805293,2.847229016354619,21.663279037963264,27.935295711832804,34.20731238570236,5,0.0,2.5,2.75,5.15,5,0.0,2.5,2.75,6.8,5,0.0,2.5,2.75,10.7,5,0.0,2.5,2.75,10.7,5,0.0,2.75,5.0,11.6,5,0.0,2.75,5.0,11.6,5,0.0,2.75,5.0,11.6
BNY,Hoch 7,4,1.3213798158412438,1.9444687262122933,2.5576535055101965,13.035552655344247,31.16589186853195,37.20933827292782,43.25278467732374,4,25.0,2.38,5.12,9.4,4,25.0,2.38,6.06,12.03,4,25.0,2.38,6.06,12.03,4,25.0,2.38,6.06,12.03,4,25.0,2.38,6.06,12.03,4,25.0,2.38,6.06,12.03,4,25.0,2.38,6.06,12.03
BNY,Hoch 8,1,2.095167904015905,2.095167904015905,2.095167904015905,2.095167904015905,2.095167904015905,2.095167904015905,2.095167904015905,1,0.0,1.25,1.25,1.25,1,0.0,2.0,2.0,2.0,1,0.0,2.0,2.0,2.0,1,0.0,2.0,2.0,2.0,1,0.0,2.0,2.0,2.0,1,0.0,2.0,2.0,2.0,1,0.0,2.0,2.0,2.0
BNY,Hoch 9,1,3.905104821036514,3.905104821036514,3.905104821036514,3.905104821036514,3.905104821036514,3.905104821036514,3.905104821036514,1,100.0,3.75,3.75,3.75,1,0.0,3.75,3.75,3.75,1,0.0,3.75,3.75,3.75,1,0.0,3.75,3.75,3.75,1,0.0,3.75,3.75,3.75,1,0.0,3.75,3.75,3.75,0,,,,
BRK-B,alle,195,0.6243455579060349,2.4222347533108213,3.6046010375448825,5.718130105225772,7.5538007824190805,10.051737201960002,36.734784506349456,195,27.7,2.75,4.0,6.0,195,16.4,3.25,5.25,7.0,195,9.7,3.5,5.62,7.4,193,9.3,3.75,6.0,8.25,188,6.4,4.38,6.75,9.4,186,3.8,4.62,6.75,9.62,177,2.3,4.75,7.0,10.35
BRK-B,Hoch 1,86,0.8900019863511286,2.252218391724553,3.473555091089138,5.2165096720650705,7.040354179390687,8.336704027421892,21.476182579990013,86,23.3,3.0,3.75,5.0,86,15.1,3.0,5.0,6.5,86,10.5,3.25,5.0,6.88,85,10.6,3.5,5.25,7.15,83,6.0,3.5,5.62,7.2,81,4.9,3.75,6.0,7.25,77,2.6,4.0,6.25,7.85
BRK-B,Hoch 2,42,0.7526687142580432,2.4838816985109626,3.133886421173548,4.702092754315918,6.6595690239991985,7.021531662730457,8.992013895229805,42,28.6,2.5,3.44,5.47,42,11.9,2.75,4.19,6.4,42,4.8,3.0,4.62,6.42,41,4.9,3.25,5.0,6.75,39,5.1,3.75,6.0,7.7,39,0.0,3.75,6.5,8.1,37,0.0,3.75,6.5,8.2
BRK-B,Hoch 3,26,0.6243455579060349,2.033671183607195,2.9930414539203207,4.822541443887053,5.834288538929929,7.3333420639273275,13.140473053595292,26,19.2,2.25,3.44,4.25,26,15.4,2.62,4.62,5.62,26,7.7,2.88,4.69,5.62,26,7.7,3.0,5.19,6.38,25,8.0,3.75,6.0,8.5,25,4.0,4.25,7.0,8.9,23,4.3,4.25,7.75,9.45
BRK-B,Hoch 4,14,0.8948877644684837,2.033233004264865,3.412611577527578,5.862077848540734,6.47001480947764,9.628743836992086,15.22854361701697,14,35.7,2.75,4.94,6.18,14,14.3,3.12,5.81,6.35,14,14.3,3.38,5.81,6.35,14,7.1,4.75,6.0,6.68,14,7.1,4.75,6.62,15.05,14,7.1,4.75,8.62,15.38,13,7.7,4.75,10.5,15.6
