ticker,position,faelle,puffer_x_n,puffer_x_p5,puffer_x_p10,puffer_x_p25,puffer_x_p50,puffer_x_p75,puffer_x_p80,puffer_x_p85,puffer_x_p90,puffer_x_p95,puffer_x_p99,puffer_x_min,puffer_x_max,anstieg_x_n,anstieg_x_p5,anstieg_x_p10,anstieg_x_p25,anstieg_x_p50,anstieg_x_p75,anstieg_x_p80,anstieg_x_p85,anstieg_x_p90,anstieg_x_p95,anstieg_x_p99,anstieg_x_min,anstieg_x_max,abstand_x_n,abstand_x_p5,abstand_x_p10,abstand_x_p25,abstand_x_p50,abstand_x_p75,abstand_x_p80,abstand_x_p85,abstand_x_p90,abstand_x_p95,abstand_x_p99,abstand_x_min,abstand_x_max,rsi_x_n,rsi_x_p5,rsi_x_p10,rsi_x_p25,rsi_x_p50,rsi_x_p75,rsi_x_p80,rsi_x_p85,rsi_x_p90,rsi_x_p95,rsi_x_p99,rsi_x_min,rsi_x_max,ohne_puffer_pct,ziel_atr,ziel_zuerst_0.25_pct,ko_zuerst_0.25_pct,tage_ziel_0.25,tage_ko_0.25,ziel_zuerst_0.5_pct,ko_zuerst_0.5_pct,tage_ziel_0.5,tage_ko_0.5,ziel_zuerst_0.75_pct,ko_zuerst_0.75_pct,tage_ziel_0.75,tage_ko_0.75,ziel_zuerst_1.0_pct,ko_zuerst_1.0_pct,tage_ziel_1.0,tage_ko_1.0,ziel_zuerst_1.25_pct,ko_zuerst_1.25_pct,tage_ziel_1.25,tage_ko_1.25,ziel_zuerst_1.5_pct,ko_zuerst_1.5_pct,tage_ziel_1.5,tage_ko_1.5,ziel_zuerst_1.75_pct,ko_zuerst_1.75_pct,tage_ziel_1.75,tage_ko_1.75,ziel_zuerst_2.0_pct,ko_zuerst_2.0_pct,tage_ziel_2.0,tage_ko_2.0,ziel_zuerst_2.25_pct,ko_zuerst_2.25_pct,tage_ziel_2.25,tage_ko_2.25,ziel_zuerst_2.5_pct,ko_zuerst_2.5_pct,tage_ziel_2.5,tage_ko_2.5,ziel_zuerst_2.75_pct,ko_zuerst_2.75_pct,tage_ziel_2.75,tage_ko_2.75,ziel_zuerst_3.0_pct,ko_zuerst_3.0_pct,tage_ziel_3.0,tage_ko_3.0,ziel_zuerst_3.25_pct,ko_zuerst_3.25_pct,tage_ziel_3.25,tage_ko_3.25,ziel_zuerst_3.5_pct,ko_zuerst_3.5_pct,tage_ziel_3.5,tage_ko_3.5,ziel_zuerst_3.75_pct,ko_zuerst_3.75_pct,tage_ziel_3.75,tage_ko_3.75,ziel_zuerst_4.0_pct,ko_zuerst_4.0_pct,tage_ziel_4.0,tage_ko_4.0
ABNB,Tief 4,7,7,0.0,0.0,0.0,1.249,4.613,5.987,7.113,7.739,8.366,8.867,0.0,8.993,7,0.12,0.159,0.561,1.004,1.509,1.537,1.774,2.43,3.085,3.61,0.08,3.741,7,0.788,0.805,0.899,1.071,1.264,1.376,1.505,1.669,1.834,1.966,0.77,1.999,7,26.971,27.523,29.752,31.696,34.823,36.699,38.533,40.282,42.031,43.43,26.419,43.78,42.9,0.783,85.7,14.3,2.0,3.0,85.7,14.3,2.0,7.0,85.7,14.3,2.0,20.0,85.7,14.3,2.0,20.0,85.7,14.3,2.0,21.0,85.7,14.3,2.0,23.0,85.7,14.3,2.0,23.0,85.7,14.3,2.0,32.0,85.7,14.3,2.0,32.0,85.7,14.3,2.0,154.0,85.7,14.3,2.0,157.0,100.0,0.0,3.0,,100.0,0.0,3.0,,100.0,0.0,3.0,,100.0,0.0,3.0,,100.0,0.0,3.0,
ABNB,Tief 5,2,2,0.838,0.887,1.035,1.28,1.526,1.575,1.624,1.673,1.723,1.762,0.789,1.772,2,1.013,1.025,1.061,1.12,1.179,1.191,1.202,1.214,1.226,1.235,1.002,1.238,2,0.511,0.521,0.55,0.597,0.645,0.655,0.664,0.674,0.683,0.691,0.502,0.693,2,31.439,31.535,31.825,32.308,32.791,32.888,32.985,33.081,33.178,33.255,31.342,33.274,0.0,0.783,50.0,50.0,2.0,2.0,50.0,50.0,2.0,2.0,50.0,50.0,2.0,5.0,100.0,0.0,7.0,,100.0,0.0,7.0,,100.0,0.0,7.0,,100.0,0.0,7.0,,100.0,0.0,7.0,,100.0,0.0,7.0,,100.0,0.0,7.0,,100.0,0.0,7.0,,100.0,0.0,7.0,,100.0,0.0,7.0,,100.0,0.0,7.0,,100.0,0.0,7.0,,100.0,0.0,7.0,
ABNB,Tief 6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.855,1.855,1.855,1.855,1.855,1.855,1.855,1.855,1.855,1.855,1.855,1.855,1,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,1,31.142,31.142,31.142,31.142,31.142,31.142,31.142,31.142,31.142,31.142,31.142,31.142,100.0,0.783,100.0,0.0,2.0,,100.0,0.0,2.0,,100.0,0.0,2.0,,100.0,0.0,2.0,,100.0,0.0,2.0,,100.0,0.0,2.0,,100.0,0.0,2.0,,100.0,0.0,2.0,,100.0,0.0,2.0,,100.0,0.0,2.0,,100.0,0.0,2.0,,100.0,0.0,2.0,,100.0,0.0,2.0,,100.0,0.0,2.0,,100.0,0.0,2.0,,100.0,0.0,2.0,
ADBE,alle,175,175,0.0,0.0,1.222,4.101,6.391,7.168,8.186,9.419,11.894,16.761,0.0,19.752,175,-0.788,-0.02,0.483,1.068,1.945,2.373,2.805,3.148,4.21,5.314,-3.262,5.886,175,0.319,0.443,0.757,1.152,1.589,1.701,1.838,2.147,2.5,3.357,0.085,3.557,175,27.983,30.061,35.307,45.35,58.431,61.93,64.761,67.85,71.962,76.424,19.145,80.472,16.6,0.961,61.7,38.3,2.0,3.0,63.4,36.6,2.0,3.0,66.3,33.7,2.0,4.0,69.1,30.9,3.0,5.0,70.9,29.1,3.0,6.0,72.0,28.0,3.0,6.0,76.0,24.0,3.0,8.0,80.0,20.0,3.0,8.0,80.0,20.0,3.0,9.0,80.6,19.4,3.0,9.0,81.1,18.9,3.0,11.0,82.9,17.1,3.0,12.0,82.9,17.1,3.0,12.0,82.9,17.1,3.0,12.0,83.4,16.6,3.0,15.0,85.1,14.9,3.0,16.5
ADBE,Tief 1,106,106,0.0,0.0,1.2,4.599,7.063,8.252,9.377,10.442,13.747,17.068,0.0,19.752,106,-0.323,0.157,0.637,1.192,2.036,2.465,2.875,3.145,4.584,5.525,-3.186,5.886,106,0.294,0.392,0.755,1.138,1.558,1.672,1.825,2.046,2.496,3.489,0.188,3.557,106,32.861,38.6,45.575,54.436,64.742,66.389,68.542,70.343,73.611,79.526,19.145,80.472,17.9,0.961,67.0,33.0,2.0,2.0,68.9,31.1,2.0,3.0,71.7,28.3,2.5,4.0,74.5,25.5,3.0,5.0,75.5,24.5,3.0,6.0,76.4,23.6,3.0,6.0,80.2,19.8,3.0,7.0,84.0,16.0,3.0,8.0,84.0,16.0,3.0,8.0,84.9,15.1,3.0,9.0,84.9,15.1,3.0,9.5,85.8,14.2,3.0,11.0,85.8,14.2,3.0,11.0,85.8,14.2,3.0,11.0,86.8,13.2,3.0,11.0,88.7,11.3,3.0,12.0
ADBE,Tief 2,31,31,0.0,0.0,1.293,4.114,7.68,8.117,8.179,8.325,9.031,11.415,0.0,12.227,31,-2.653,-1.505,0.128,0.794,1.79,2.084,2.552,3.122,3.897,4.292,-3.262,4.312,31,0.474,0.514,0.687,1.268,1.605,1.738,1.772,1.888,2.204,2.411,0.283,2.487,31,28.901,30.651,34.033,39.413,45.311,46.112,46.648,47.283,54.834,58.966,27.564,60.634,12.9,0.961,58.1,41.9,2.0,2.0,58.1,41.9,2.0,2.0,58.1,41.9,2.0,3.0,58.1,41.9,2.0,3.0,58.1,41.9,2.0,3.0,58.1,41.9,2.0,5.0,64.5,35.5,2.0,5.0,67.7,32.3,2.0,5.5,67.7,32.3,2.0,6.0,67.7,32.3,2.0,6.0,67.7,32.3,2.0,9.5,74.2,25.8,2.0,11.0,74.2,25.8,2.0,12.0,74.2,25.8,2.0,12.0,74.2,25.8,2.0,12.5,74.2,25.8,2.0,19.5
ADBE,Tief 3,19,19,0.0,0.0,0.051,2.416,3.999,4.243,5.094,6.655,6.952,7.095,0.0,7.131,19,0.089,0.288,0.577,0.881,1.776,2.554,3.567,3.635,3.839,4.554,-0.498,4.733,19,0.501,0.688,0.854,1.152,1.637,1.67,1.907,2.462,2.542,2.627,0.085,2.648,19,21.18,22.625,27.838,30.169,35.726,36.135,37.544,40.294,40.985,42.603,20.502,43.007,26.3,0.961,57.9,42.1,5.0,6.0,57.9,42.1,5.0,8.5,57.9,42.1,5.0,9.0,63.2,36.8,5.0,9.0,68.4,31.6,5.0,10.0,73.7,26.3,5.0,21.0,78.9,21.1,5.0,17.5,84.2,15.8,5.5,35.0,84.2,15.8,5.5,39.0,84.2,15.8,5.5,39.0,84.2,15.8,5.5,40.0,84.2,15.8,5.5,40.0,84.2,15.8,5.5,42.0,84.2,15.8,5.5,43.0,84.2,15.8,5.5,43.0,84.2,15.8,5.5,55.0
ADBE,Tief 4,11,11,0.442,0.883,1.579,3.596,4.758,4.98,5.818,6.656,6.953,7.191,0.0,7.25,11,-0.221,0.291,0.59,1.068,2.122,2.3,2.41,2.519,2.741,2.918,-0.732,2.962,11,0.696,0.705,0.834,1.325,1.84,1.841,2.027,2.213,2.431,2.606,0.687,2.65,11,30.173,30.501,31.299,33.268,33.991,34.011,36.113,38.215,40.311,41.988,29.844,42.407,9.1,0.961,45.5,54.5,1.0,5.5,54.5,45.5,1.5,7.0,54.5,45.5,1.5,8.0,63.6,36.4,2.0,20.5,72.7,27.3,3.0,22.0,72.7,27.3,3.0,23.0,72.7,27.3,3.0,26.0,72.7,27.3,3.0,26.0,72.7,27.3,3.0,26.0,72.7,27.3,3.0,27.0,81.8,18.2,4.0,17.5,81.8,18.2,4.0,17.5,81.8,18.2,4.0,18.5,81.8,18.2,4.0,19.0,81.8,18.2,4.0,22.0,81.8,18.2,4.0,22.5
ADBE,Tief 5,3,3,3.764,3.774,3.806,3.86,4.024,4.056,4.089,4.122,4.154,4.181,3.753,4.187,3,-0.856,-0.712,-0.278,0.443,1.181,1.329,1.477,1.624,1.772,1.89,-1.0,1.919,3,0.239,0.306,0.509,0.847,1.088,1.136,1.184,1.233,1.281,1.319,0.171,1.329,3,26.741,27.264,28.834,31.451,35.615,36.448,37.281,38.113,38.946,39.612,26.217,39.779,0.0,0.961,33.3,66.7,3.0,2.0,33.3,66.7,3.0,2.0,33.3,66.7,3.0,3.0,33.3,66.7,3.0,5.0,33.3,66.7,3.0,8.5,33.3,66.7,3.0,22.0,33.3,66.7,3.0,22.0,66.7,33.3,9.0,36.0,66.7,33.3,9.0,36.0,66.7,33.3,9.0,36.0,66.7,33.3,9.0,36.0,66.7,33.3,9.0,37.0,66.7,33.3,9.0,37.0,66.7,33.3,9.0,37.0,66.7,33.3,9.0,37.0,100.0,0.0,15.0,
ADBE,Tief 6,3,3,2.588,2.655,2.855,3.188,3.591,3.671,3.752,3.832,3.913,3.977,2.522,3.993,3,0.3,0.316,0.365,0.445,0.464,0.468,0.471,0.475,0.479,0.482,0.284,0.482,3,0.777,0.824,0.967,1.203,1.84,1.967,2.094,2.221,2.349,2.45,0.73,2.476,3,28.475,28.568,28.846,29.311,36.547,37.994,39.441,40.888,42.335,43.493,28.382,43.783,0.0,0.961,0.0,100.0,,5.0,0.0,100.0,,5.0,66.7,33.3,12.5,13.0,66.7,33.3,12.5,13.0,66.7,33.3,12.5,14.0,66.7,33.3,12.5,14.0,66.7,33.3,12.5,14.0,66.7,33.3,12.5,15.0,66.7,33.3,12.5,16.0,66.7,33.3,12.5,17.0,66.7,33.3,12.5,17.0,66.7,33.3,12.5,28.0,66.7,33.3,12.5,29.0,66.7,33.3,12.5,58.0,66.7,33.3,12.5,59.0,66.7,33.3,12.5,67.0
